census_id,emis,year
0474,77.06036282073458,2009
0475,2427.983757678816,2009
0476,11499.211428794966,2009
0477,162.61038109026657,2009
0478,10643.010445087184,2009
0479,9807.625477289053,2009
0480,319.18461809817126,2009
0481,46.38838997341919,2009
0482,288.97890251195514,2009
0483,3558.5236766650455,2009
0484,298.7985741807291,2009
0485,249.06936310351344,2009
0486,19.12001964607525,2009
0487,1789.3103801177444,2009
0488,225.61557539373146,2009
0489,129.23985882553174,2009
0490,2258.4132984078487,2009
0491,197.745625757658,2009
0492,87.1199769563934,2009
0493,1187.435550803746,2009
0494,370.2543180674504,2009
0495,186.02418317120257,2009
0496,110.57545040890851,2009
0497,316.1099874923834,2009
0498,268.2281687262954,2009
0499,28.227214914622273,2009
0500,170.69607663622983,2009
0501,174.82960723406933,2009
0502,2653.453700204885,2009
0503,2142.750745398032,2009
0504,351.2926751551534,2009
0505,256.2371292171883,2009
0506,287.8882348344224,2009
0507,240.15911510202233,2009
0508,177.000795006148,2009
0509,293.9473307352835,2009
0510,2416.6641028618947,2009
0511,137.58520384288894,2009
0512,167.67868258561802,2009
0513,961.6085472462166,2009
0514,122.19905422905019,2009
0515,577.8455739505448,2009
0516,1076.1672420345506,2009
0517,96.49022280659862,2009
0518,184.58853661409574,2009
0519,1272.5339828500248,2009
0520,398.7832765230805,2009
0521,170.2158344839324,2009
0522,123.69501745548244,2009
0523,79.39195628430424,2009
0524,279.0259575862717,2009
0525,65760.15407714347,2009
0526,538.3936231230448,2009
0527,3744.1118676378023,2009
0528,385.85574458218474,2009
0529,338.9050082926086,2009
0530,10181.757524220231,2009
0531,405.31602548318733,2009
0532,157.61542962238937,2009
0533,468.1519373933044,2009
0534,21960.30279002093,2009
0535,212.73337042557836,2009
0536,175.6546143333343,2009
0537,69919.557810848,2009
0538,43116.10748517778,2009
0539,359.5223085040106,2009
0540,3899.32911665678,2009
0541,3111.581137513839,2009
0542,43425.508706659486,2009
0543,5828.233183812471,2009
0544,7741.272029335328,2009
0545,41407.245421433145,2009
0546,10717.94607016069,2009
0547,4445.194854974286,2009
0548,4588.517948543704,2009
0549,2520.949911031914,2009
0550,2505.300147768962,2009
0551,2507.0070214368357,2009
0552,3510.5180763408443,2009
0553,276.84970484958313,2009
0554,1585.822255320008,2009
0555,3756.1917182575867,2009
0556,1052.6056771635294,2009
0557,744.9685245699316,2009
0558,4905.3641671563155,2009
0559,53.53648244668267,2009
0560,820.9987564609638,2009
0561,782.6534365771623,2009
0562,1087.2060973502469,2009
0563,6710.113649068,2009
0564,994.4728109632266,2009
0565,19289.460027317433,2009
0566,19836.345959283382,2009
0567,476.17628063114574,2009
0568,2114.805735620557,2009
0569,1735.3821198670212,2009
