GEOID17,observations,network,species
42095,2.987701,AQS,SO2
42101,1.2365378,AQS,SO2
42123,1.9337098,AQS,SO2
42125,0.8399504,AQS,SO2
42133,0.8692238,AQS,SO2
44007,0.327647,AQS,SO2
45019,0.6402566,AQS,SO2
45045,0.21630939999999999,AQS,SO2
45063,0.251997,AQS,SO2
45073,0.1331088,AQS,SO2
45079,0.2021021,AQS,SO2
46071,0.25617025,AQS,SO2
46099,0.67781175,AQS,SO2
46103,0.58264275,AQS,SO2
46127,0.4865445,AQS,SO2
47001,0.4267502,AQS,SO2
47009,0.1993462,AQS,SO2
47037,0.15470225,AQS,SO2
47157,0.448003,AQS,SO2
47163,6.886903,AQS,SO2
48029,1.927944125,AQS,SO2
48113,0.4116565,AQS,SO2
48139,0.363962,AQS,SO2
48141,0.7810651666666667,AQS,SO2
48161,1.29502425,AQS,SO2
48167,0.90046925,AQS,SO2
48183,1.295583,AQS,SO2
48201,0.4722944375,AQS,SO2
48203,2.0973800000000002,AQS,SO2
48227,8.17331575,AQS,SO2
48233,17.748490750000002,AQS,SO2
48245,2.2350634166666667,AQS,SO2
48257,0.89023875,AQS,SO2
48309,0.53662225,AQS,SO2
48331,1.2912667500000001,AQS,SO2
48349,3.083949375,AQS,SO2
48355,0.5034935,AQS,SO2
48361,3.54415625,AQS,SO2
48375,3.140287125,AQS,SO2
48395,0.73508975,AQS,SO2
48401,2.47838825,AQS,SO2
48449,1.4753315,AQS,SO2
48453,0.38911399999999996,AQS,SO2
49035,0.4521672,AQS,SO2
50007,0.141426,AQS,SO2
50021,0.39951400000000004,AQS,SO2
51023,1.6257404,AQS,SO2
51036,0.9284560000000001,AQS,SO2
51059,0.3868612,AQS,SO2
51071,24.351900750000002,AQS,SO2
51087,0.29359399999999997,AQS,SO2
51161,0.3074894,AQS,SO2
51165,0.343314,AQS,SO2
51580,2.7124374,AQS,SO2
51650,0.5279802,AQS,SO2
51710,0.3664316,AQS,SO2
53007,0.23610475,AQS,SO2
53009,0.090998,AQS,SO2
53033,0.470647,AQS,SO2
