geo_name,lon,lat,country,census_id,pop_tot,pop_30plus
ANGOLA_LUANDA_BELAS,13.174021473379,-9.08837444152561,Angola,0092,1265496,354040
ANGOLA_LUANDA_CACUACO,13.451339905381309,-8.81991357363531,Angola,0093,1259650,319584
ANGOLA_LUANDA_CAZENGA,13.300213504677842,-8.82313810517484,Angola,0094,1050435,300758
ANGOLA_LUANDA_ICOLO E BENGO,13.862681054977354,-9.152861347234415,Angola,0095,95513,30353
ANGOLA_LUANDA_LUANDA,13.252264930379923,-8.85095461326464,Angola,0096,2583404,751831
ANGOLA_LUANDA_QUISSAMA,13.850629524262196,-9.831116523016574,Angola,0097,31249,9845
ANGOLA_LUANDA_VIANA,13.400581493461187,-9.003465052028048,Angola,0098,1889565,493088
ANGOLA_LUNDA NORTE_CAMBULO,21.496387269915466,-7.900107950052335,Angola,0099,141402,47174
ANGOLA_LUNDA NORTE_CAPENDA CAMULEMBA,18.86907773627034,-9.675389036317052,Angola,0100,68607,24418
ANGOLA_LUNDA NORTE_CAUNGULA,18.82247560938972,-8.340339422591542,Angola,0101,33146,11101
ANGOLA_LUNDA NORTE_CHITATO,20.86681232898085,-7.553523750605493,Angola,0102,229690,65136
ANGOLA_LUNDA NORTE_CUANGO,18.060888555716936,-8.601096909504287,Angola,0103,216311,66330
ANGOLA_LUNDA NORTE_CUILO,19.68851489115215,-8.128052490802382,Angola,0104,24726,6951
ANGOLA_LUNDA NORTE_LÓVUA,20.13536631533787,-7.292391189166928,Angola,0105,15338,5555
ANGOLA_LUNDA NORTE_LUBALO,19.297321892350976,-9.188561260843436,Angola,0106,24284,7988
ANGOLA_LUNDA NORTE_LUCAPA,20.47673092828323,-8.42331409755646,Angola,0107,181631,64599
ANGOLA_LUNDA NORTE_XÁ-MUTEBA,17.85122654394,-9.277995251698849,Angola,0108,80178,30164
ANGOLA_LUNDA SUL_CACOLO,19.178913301145815,-10.547328172202947,Angola,0109,37539,11948
ANGOLA_LUNDA SUL_DALA,20.352238837105524,-10.92405164265005,Angola,0110,35302,10486
ANGOLA_LUNDA SUL_MUCONDA,21.424847286291374,-10.154651759138405,Angola,0111,39154,11248
ANGOLA_LUNDA SUL_SAURIMO,20.688380679682755,-9.477233643283244,Angola,0112,520785,135434
ANGOLA_MALANJE_CACUSO,15.62849098111707,-9.490292469411429,Angola,0113,84143,24050
ANGOLA_MALANJE_CAHOMBO,16.66605389643875,-8.647102372057851,Angola,0114,25319,8763
ANGOLA_MALANJE_CALANDULA,16.005245178381916,-8.695990183498342,Angola,0115,94655,29988
ANGOLA_MALANJE_CAMBUNDI-CATEMBO,17.84709415122643,-10.125145503710968,Angola,0116,54516,16414
ANGOLA_MALANJE_CANGANDALA,16.683252748189343,-9.952367021939013,Angola,0117,53110,15581
ANGOLA_MALANJE_CUNDA-DIA-BAZE,17.352728983670623,-8.66125398022735,Angola,0118,14855,4839
ANGOLA_MALANJE_KIWABA NZOJI,16.45736622164412,-9.037971690115318,Angola,0119,18693,6280
ANGOLA_MALANJE_LUQUEMBO,17.384986684590697,-10.792874181396483,Angola,0120,64601,18924
ANGOLA_MALANJE_MALANJE,16.35498305019854,-9.482474776585153,Angola,0121,596600,133319
ANGOLA_MALANJE_MARIMBA,17.11151213033175,-8.168436018156713,Angola,0122,30815,9785
ANGOLA_MALANJE_MASSANGO,16.599614024908476,-7.763456075510212,Angola,0123,38745,11002
ANGOLA_MALANJE_MUCARI,16.919365558811112,-9.481804740501817,Angola,0124,35445,10720
ANGOLA_MALANJE_QUELA,17.28820754724371,-9.318539247011007,Angola,0125,24662,8086
ANGOLA_MALANJE_QUIRIMA,18.2681837365498,-11.068909718662896,Angola,0126,24875,6882
ANGOLA_MOXICO_ALTO ZAMBEZE,22.90799374709926,-12.209683357686718,Angola,0127,130534,32465
ANGOLA_MOXICO_BUNDAS,21.31907325919521,-14.210473217747047,Angola,0128,81803,21739
ANGOLA_MOXICO_CAMANONGUE,20.234534061632754,-11.408959591622152,Angola,0129,40220,11094
ANGOLA_MOXICO_CAMEIA,21.26339460023485,-11.838370789228382,Angola,0130,34701,9264
ANGOLA_MOXICO_LÉUA,20.575562544579704,-11.74380358626066,Angola,0131,38202,11347
ANGOLA_MOXICO_LUACANO,22.046284955949286,-11.669871723573195,Angola,0132,24427,6440
ANGOLA_MOXICO_LUAU,21.997475474347006,-10.901812727972676,Angola,0133,105295,27417
ANGOLA_MOXICO_LUCHAZES,19.530239402686032,-13.751962349149917,Angola,0134,17009,4272
ANGOLA_MOXICO_LUENA,19.776770525882704,-12.327720581169427,Angola,0135,420706,101180
ANGOLA_NAMIBE_BIBALA,13.139576640553054,-14.685793467915335,Angola,0136,75927,19082
ANGOLA_NAMIBE_CAMUCUIO,13.0324059676621,-14.003701587165244,Angola,0137,59263,13635
