date_time,SPD,DIR,t_chem,t_SO2,TEMP,stab_class
2010-11-30T02:00:00Z,5.826745443110354,320,240000.00000000003,91116.62531017371,284.0334395529897,D
2010-11-30T03:00:00Z,5.828504244334584,320,240000.00000000003,91116.62531017371,285.7528432745045,D
2010-11-30T04:00:00Z,6.041024060522877,310,240000.00000000003,91116.62531017371,286.4798750950216,D
2010-11-30T05:00:00Z,6.3663675533361825,310,240000.00000000003,91116.62531017371,287.4470396883737,D
2010-11-30T06:00:00Z,6.208997689368212,300,240000.00000000003,91116.62531017371,288.39563047609215,D
2010-11-30T07:00:00Z,6.022236596830303,300,240000.00000000003,91116.62531017371,288.70740507065693,D
2010-11-30T08:00:00Z,5.82124426191743,290,240000.00000000003,91116.62531017371,288.94488444268717,D
2010-11-30T09:00:00Z,5.856431258802999,290,240000.00000000003,91116.62531017371,289.40392278191877,D
2010-11-30T10:00:00Z,5.7628633667036695,290,240000.00000000003,91116.62531017371,289.4782180044533,D
2010-11-30T11:00:00Z,6.223262146753403,280,240000.00000000003,91116.62531017371,289.64272885435133,D
2010-11-30T12:00:00Z,7.218527568547336,280,240000.00000000003,91116.62531017371,289.661302659985,D
2010-11-30T13:00:00Z,5.844574352170491,260,240000.00000000003,91116.62531017371,289.8045863034446,D
2010-11-30T14:00:00Z,4.5678220847346,180,240000.00000000003,91116.62531017371,290.3153659583699,D
2010-11-30T15:00:00Z,5.094991087287384,140,240000.00000000003,91116.62531017371,290.09513369157094,D
2010-11-30T16:00:00Z,3.520094052203986,140,240000.00000000003,91116.62531017371,288.89314312699344,D
2010-11-30T17:00:00Z,2.795400316338238,150,240000.00000000003,91116.62531017371,286.0685979702765,D
2010-11-30T18:00:00Z,3.6416022810530366,150,240000.00000000003,91116.62531017371,283.5611342097341,D
2010-11-30T19:00:00Z,3.866071748825348,150,240000.00000000003,91116.62531017371,283.4350976715058,D
2010-11-30T20:00:00Z,2.764345899180434,160,240000.00000000003,91116.62531017371,283.2042518014876,D
2010-11-30T21:00:00Z,2.1534978567415757,180,240000.00000000003,91116.62531017371,281.5047485860088,D
2010-11-30T22:00:00Z,1.7030244792010465,180,240000.00000000003,91116.62531017371,280.8161910771614,D
2010-11-30T23:00:00Z,2.9197645471307836,180,240000.00000000003,91116.62531017371,280.7697565630773,D
2010-12-01T00:00:00Z,4.146752051954835,160,240000.00000000003,91116.62531017371,280.4274678592572,D
2010-12-01T01:00:00Z,4.80149686259149,150,240000.00000000003,91116.62531017371,279.3727410393465,D
2010-12-01T02:00:00Z,4.304632675359323,150,240000.00000000003,91116.62531017371,278.6165218099766,D
2010-12-01T03:00:00Z,4.9449406587703395,160,240000.00000000003,91116.62531017371,276.8042490602935,D
2010-12-01T04:00:00Z,5.3146816914077,160,240000.00000000003,91116.62531017371,276.2324411868576,D
2010-12-01T05:00:00Z,5.633572376329541,160,240000.00000000003,91116.62531017371,275.9193398918904,D
2010-12-01T06:00:00Z,5.762360078729799,160,279767.90525649075,96314.33652385946,275.6831872202626,D
2010-12-01T07:00:00Z,5.786589673553562,160,303660.5965375051,98995.89240614836,275.8410645681486,D
2010-12-01T08:00:00Z,5.302172913080317,160,295772.2528914717,98142.56726566488,275.6141987993376,D
2010-12-01T09:00:00Z,4.930625709171122,160,315336.46879900055,100205.47441233307,275.23741588505504,E
2010-12-01T10:00:00Z,4.7372240465083415,150,240000.00000000003,91116.62531017371,273.1505161520745,D
2010-12-01T11:00:00Z,3.69360687073875,160,240000.00000000003,91116.62531017371,272.5893218818578,E
2010-12-01T12:00:00Z,3.415268652962665,160,240000.00000000003,91116.62531017371,272.48451255006796,E
2010-12-01T13:00:00Z,3.1085981114249086,170,240000.00000000003,91116.62531017371,272.50706645690883,E
2010-12-01T14:00:00Z,3.171526129853444,170,240000.00000000003,91116.62531017371,273.32962070639894,D
2010-12-01T15:00:00Z,3.6909925561879757,170,286530.8371588391,97103.36187663548,276.1050779482269,C
2010-12-01T16:00:00Z,4.297960997273518,170,387068.67562520964,106475.86494949363,277.44239195384955,C
2010-12-01T17:00:00Z,4.769114341664768,160,502594.6345729296,113662.79142620236,278.57539409750206,C
2010-12-01T18:00:00Z,4.81310562924114,160,689833.4399535155,121096.10151117142,279.9724096212328,C
2010-12-01T19:00:00Z,4.668016411236427,160,720000,121993.35548172759,280.34919253551544,C
2010-12-01T20:00:00Z,4.519167269559973,160,720000,121993.35548172759,280.71138174537157,C
2010-12-01T21:00:00Z,4.342219986505471,170,720000,121993.35548172759,280.9170203077441,C
2010-12-01T22:00:00Z,2.810030190425544,160,641379.2604598119,119511.16910619549,278.8234870727515,F
2010-12-01T23:00:00Z,2.2824457890238654,160,513499.19578922633,114211.29308500249,278.21320488764593,F
