lon,lat,grid_area,emissions
13.875,-18.125,733297408,0
13.875,-17.875,734337792,0
13.875,-17.625,735364160,0
13.875,-17.375,736376512,0
13.875,-17.125,737374912,0
13.875,-16.875,738359232,0
13.875,-16.625,739329472,9.914691559264378
13.875,-16.375,740285632,0
13.875,-16.125,741227776,26.210714581493793
13.875,-15.875,742155712,3.2536081418175575
13.875,-15.625,743069568,23.16241646581036
13.875,-15.375,743969280,2.447270964029774
13.875,-15.125,744854848,2.629410237034192
13.875,-14.875,745726144,0
13.875,-14.625,746583360,6.918097386775256
13.875,-14.375,747426304,418.5291244079223
13.875,-14.125,748254976,112.14270733399354
13.875,-13.875,749069440,143.04764149027847
13.875,-13.625,749869696,560.4976257864577
13.875,-13.375,750655616,451.7397678533791
13.875,-13.125,751427264,65.27849811096908
13.875,-12.875,752184576,19.181720266152453
13.875,-12.625,752927616,209.69506222593927
13.875,-12.375,753656256,214.59405402740995
13.875,-12.125,754370624,124.00419893333958
13.875,-11.875,755070592,149.8194221798268
13.875,-11.625,755756160,254.06803376108735
13.875,-11.375,756427392,3.087975705177835
13.875,-11.125,757084160,2.1691213409757073
13.875,-10.875,757726592,31.147572012187652
13.875,-10.625,758354560,228.13850132919987
13.875,-10.375,758968064,2398.2034105654398
13.875,-10.125,759567104,584.013155023393
13.875,-9.875,760151744,693.4752228557721
13.875,-9.625,760721920,769.2248522771218
13.875,-9.375,761277568,648.450594749919
13.875,-9.125,761818688,626.2616115321839
13.875,-8.875,762345408,595.1178181527214
13.875,-8.625,762857536,1172.207404606711
13.875,-8.375,763355136,1572.2901982689089
13.875,-8.125,763838272,2161.1896128051494
13.875,-7.875,764306816,1687.6212453071494
13.875,-7.625,764760768,1856.8437825686244
13.875,-7.375,765200256,860.9389622512638
13.875,-7.125,765625088,1779.4263441964933
13.875,-6.875,766035392,1583.968079174263
13.875,-6.625,766431104,1459.2943416455219
13.875,-6.375,766812224,1688.3605175733023
13.875,-6.125,767178752,1181.434205130408
13.875,-5.875,767530624,1450.0594590531211
13.875,-5.625,767867968,1651.417957818478
13.875,-5.375,768190656,2392.3469801166093
13.875,-5.125,768498688,1137.197856527959
13.875,-4.875,768792128,1300.435529045041
13.875,-4.625,769070912,473.6850763220805
13.875,-4.375,769335040,1242.3727309011713
13.875,-4.125,769584512,1510.193222245342
13.875,-3.875,769819392,1284.9707606225852
13.875,-3.625,770039552,492.1688093429997
13.875,-3.375,770245120,10.023782051842918
13.875,-3.125,770435968,141.57266726888105
13.875,-2.875,770612160,201.26041845329613
13.875,-2.625,770773696,161.16302881926606
13.875,-2.375,770920576,903.3854660904951
13.875,-2.125,771052736,0
13.875,-1.875,771170240,348.8205426871162
13.875,-1.625,771273024,852.2507660942356
13.875,-1.375,771361152,2214.8083082226085
13.875,-1.125,771434624,107.62228877913076
13.875,-0.875,771493376,10.567965057273934
13.875,-0.625,771537408,10.341963239970239
13.875,-0.375,771566784,2.637404526068396
13.875,-0.125,771581504,0
14.125,-22.125,714767296,0
14.125,-21.875,716028480,0
14.125,-21.625,717276032,0
14.125,-21.375,718509952,0
14.125,-21.125,719730112,0
14.125,-20.875,720936640,0
14.125,-20.625,722129408,0
