GEOID17,facility_id,facility_name,lon,lat,emis,stkhgt,stkdiam,stktemp,stkvel,sector,type,tribal_fips,poll
29153,NA,NA,-92.44959153607829,36.64882332337421,0.06271170471869328,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,nonegu,elevated,NA,NOX
29155,NA,NA,-89.74284069194536,36.16925993879465,5.86972525952813,18.28710758914965,13.715330691862237,333.15,0.9448338921060652,nonegu,elevated,NA,NOX
29157,NA,NA,-89.8500792593079,37.71013050144424,5.471920286751361,7.99886461723874,0.36027463233839985,513.0482188295165,9.363859929131642,nonegu,elevated,NA,NOX
29159,NA,NA,-93.25654829001134,38.7025925521309,1208.6398516406534,15.286703385074302,1.113150554820403,636.8232282008963,14.276628575590175,nonegu,elevated,NA,NOX
29161,NA,NA,-91.74203214086228,37.940184364669165,1.7685864301270418,4.1013836865440245,0.6097219738539088,724.0944012329674,24.945143813616586,nonegu,elevated,NA,NOX
29163,NA,NA,-91.1681372984509,39.354053340196806,291.3618801333938,36.7762160602189,0.6677982097718891,328.1209142471764,6.179052190593733,nonegu,elevated,NA,NOX
29165,NA,NA,-94.69072054352866,39.26296794427383,638.1116023068964,19.760035298098206,1.5667989052870281,355.2418541274229,1.3188928740827808,nonegu,elevated,NA,NOX
29167,NA,NA,-93.39693897371188,37.60817829320113,2.651342286751361,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,nonegu,elevated,NA,NOX
29169,NA,NA,-92.19810862585413,37.82542356585616,77.30521403176041,33.15333278865272,0.6604704572299509,505.3722222222222,8.41206949100884,nonegu,elevated,NA,NOX
29171,NA,NA,-93.0178412709865,40.46456836629133,0.10584014156079853,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,nonegu,elevated,NA,NOX
29173,NA,NA,-91.46724968549114,39.55515962224747,875.5327863847549,117.34227369704358,3.7183785431270944,433.15,6.298323681804327,nonegu,elevated,NA,NOX
29175,NA,NA,-92.47470781317028,39.41799065604052,42.98421183847549,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,nonegu,elevated,NA,NOX
29177,NA,NA,-94.03578117168489,39.32724885905592,1.6654853629764066,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,nonegu,elevated,NA,NOX
29179,NA,NA,-90.95285725840937,37.32664211762386,0.005407709618874772,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,nonegu,elevated,NA,NOX
29181,NA,NA,-90.80339313961682,36.636057360963214,0.3265000136116153,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,nonegu,elevated,NA,NOX
29183,NA,NA,-90.6638157202082,38.77605756874301,119.67284176950996,36.940855647288174,1.442510512317118,472.2749321722175,8.327556918512657,nonegu,elevated,NA,NOX
29185,NA,NA,-93.75177653520603,38.055194816605514,0.015622346642468239,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,nonegu,elevated,NA,NOX
29186,NA,NA,-90.17217846844295,37.9347161663201,8404.601036112523,96.89004527753357,5.574020538150872,406.65064652935393,15.591476124479481,nonegu,elevated,NA,NOX
29187,NA,NA,-90.48451207371409,37.82746639363868,509.7752239328493,24.90239799894702,1.2206810614659613,491.2442286202273,4.606304689659807,nonegu,elevated,NA,NOX
29189,NA,NA,-90.39211772842278,38.64213095342462,728.4859933733666,18.479117132743056,1.342603480610089,546.6992663860057,8.145022901554626,nonegu,elevated,NA,NOX
29195,NA,NA,-93.19771860864896,39.125604947288316,68.04036346442831,35.86459561124837,1.7268401127892592,451.3775649549232,16.61760710997071,nonegu,elevated,NA,NOX
29197,NA,NA,-92.51766714797796,40.47100526821245,0.048981108892921954,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,nonegu,elevated,NA,NOX
29199,NA,NA,-92.15739127684446,40.45380862033875,0.07972783756805807,93.99133520386548,4.489078682387032,460.47201863393786,21.420120794584022,nonegu,elevated,NA,NOX
