25-29 years,95% UI,,30-34 years,95% UI,,35-39 years,95% UI,,40-44 years,95% UI,,45-49 years,95% UI,,50-54 years,95% UI,,55-59 years,95% UI,,60-64 years,95% UI,,65-69 years,95% UI,,70-74 years,95% UI,,75-79 years,95% UI,,80-84 years,95% UI,,85-89 years,95% UI,,90-94 years,95% UI,,95+ years,95% UI,
1.052598404,1.009433345,1.127570763,1.049566164,1.008155059,1.118939662,1.046228415,1.008210685,1.105658208,1.043007547,1.007221149,1.098886196,1.039973046,1.007226491,1.0938434,1.037065246,1.006179026,1.089467367,1.033863826,1.005710731,1.078765691,1.030287559,1.005192242,1.070473396,1.027541212,1.004995012,1.064579644,1.024370668,1.004436612,1.055952623,1.021392112,1.003629691,1.047439786,1.018127604,1.003300943,1.040972795,1.015203838,1.002649324,1.035884776,1.012203212,1.002063563,1.028916564,1.009019019,1.00163073,1.021381085
1.055009421,1.010760996,1.130709946,1.051836187,1.009700777,1.122111356,1.048342951,1.009652207,1.1084754,1.044980149,1.008555415,1.101593986,1.041799115,1.008628613,1.095923877,1.038752395,1.00735362,1.091921768,1.035398451,1.006876033,1.081083157,1.031669755,1.00605171,1.072372921,1.028793516,1.005911643,1.066151234,1.025475749,1.005354875,1.057355759,1.022361639,1.004015089,1.048693703,1.018951428,1.003771929,1.042016098,1.015889709,1.003143184,1.036758621,1.01275214,1.002420975,1.029653425,1.009424682,1.001937787,1.021855254
1.057423379,1.011995874,1.133828582,1.054108659,1.010953901,1.124990636,1.050459453,1.011238238,1.111275664,1.046954378,1.009950255,1.104229107,1.04362636,1.0096171,1.097991742,1.040440321,1.008572673,1.09436716,1.036933693,1.007620421,1.083486973,1.033052203,1.006708656,1.074269817,1.030045926,1.006608154,1.067713778,1.026580803,1.006200351,1.058748217,1.023330972,1.004607081,1.049948153,1.019774979,1.00437424,1.042920158,1.016575252,1.003619476,1.037612407,1.013300737,1.002793856,1.030370307,1.009830033,1.002236893,1.022326225
1.059840354,1.012667304,1.136918538,1.056383648,1.012088041,1.127861757,1.052577984,1.012246216,1.114052499,1.048930294,1.011225672,1.106623208,1.045454836,1.0105003,1.100047229,1.042129075,1.009773255,1.096809927,1.0384696,1.008371898,1.085882636,1.034434947,1.007670745,1.076165099,1.03129848,1.007431553,1.069267454,1.027685865,1.006926162,1.060107126,1.024300143,1.005217903,1.051211388,1.020598285,1.004780438,1.043972276,1.01726049,1.004076295,1.038498816,1.013849024,1.003149499,1.031029255,1.010235086,1.002477354,1.022794061
1.062260417,1.01434564,1.139983896,1.058661222,1.013645919,1.130724853,1.054698608,1.013663462,1.116814929,1.050907956,1.012517723,1.109009098,1.047284597,1.011535011,1.10246291,1.043818709,1.010757831,1.099256384,1.040006216,1.009465088,1.088035583,1.035818028,1.008670045,1.078133332,1.032551216,1.008238928,1.070812435,1.028790969,1.007793872,1.061518516,1.025269181,1.005829091,1.052466692,1.021421372,1.005014553,1.045039827,1.017945445,1.004450498,1.03950935,1.014397018,1.003501065,1.031683976,1.010639855,1.002713903,1.023258821
1.064683634,1.01565383,1.143033719,1.060941444,1.015210384,1.13393595,1.056821383,1.015094453,1.119563222,1.052887418,1.013893376,1.112017475,1.049115696,1.012712803,1.104558819,1.04550927,1.011784693,1.101706545,1.041543586,1.010314075,1.090175703,1.037201485,1.009368453,1.080309027,1.033804171,1.009009587,1.07234889,1.029896147,1.008710557,1.062898174,1.026238115,1.0064736,1.05377086,1.022244264,1.005609192,1.046107826,1.018630137,1.004831322,1.040464006,1.014944736,1.003675435,1.032509833,1.011044353,1.002953961,1.023838236
1.067110071,1.017169299,1.146068286,1.063224375,1.015890017,1.137370682,1.058946365,1.016540082,1.122570792,1.054868733,1.015115116,1.115362399,1.05094818,1.014072261,1.106631957,1.047200804,1.013036406,1.103905983,1.043081751,1.011304739,1.092253943,1.038585357,1.010260428,1.082487479,1.03505738,1.009710108,1.073876982,1.031001429,1.009430261,1.064265204,1.027206972,1.007127227,1.054982184,1.023066984,1.006122048,1.047182481,1.019314586,1.005310252,1.041368429,1.015492194,1.003971153,1.033362217,1.011448591,1.003228292,1.0244142
1.069539789,1.018815521,1.149252229,1.065510073,1.017300604,1.140819644,1.061073608,1.017993364,1.125788688,1.056851952,1.01587339,1.118715487,1.052782097,1.015457071,1.108874551,1.048893355,1.013787365,1.106050672,1.04462075,1.012185663,1.094029677,1.03996968,1.011155951,1.084513082,1.036310876,1.010452288,1.075396871,1.032106845,1.010046289,1.065512919,1.028175777,1.007786134,1.056144099,1.023889554,1.006664417,1.048260368,1.019998811,1.005773511,1.042272253,1.016039406,1.004294274,1.034196131,1.011852581,1.00346581,1.024986601
1.071972848,1.020493967,1.152653472,1.067798593,1.018881678,1.144282886,1.063203164,1.019560852,1.128559608,1.058837122,1.016990357,1.12168435,1.054617492,1.01674318,1.111635993,1.050586965,1.014602471,1.108187834,1.046160621,1.013178558,1.095791642,1.041354488,1.012051176,1.086156314,1.037564688,1.011282772,1.076941516,1.033212421,1.010528017,1.066971097,1.029144556,1.008323087,1.05728241,1.024711996,1.007123383,1.04930593,1.020682829,1.00619074,1.043146281,1.016586388,1.004619307,1.034871738,1.012256334,1.003679271,1.02555383
1.074409305,1.021813875,1.156062224,1.070089988,1.020478297,1.147760456,1.065335082,1.020875273,1.131032197,1.06082429,1.018313668,1.124468682,1.056454406,1.017860493,1.114733943,1.052281673,1.015717702,1.110317576,1.047701398,1.014131819,1.097544323,1.042739814,1.012772778,1.087737733,1.038818848,1.012230465,1.078803407,1.034318185,1.011088624,1.068347501,1.03011333,1.008996761,1.0583906,1.025534329,1.007489561,1.050375515,1.021366656,1.00660038,1.044014806,1.017133153,1.004946868,1.035705621,1.01265986,1.003923356,1.02611654
