COPD,95% UI,
1.201294289,1.137509705,1.284457108
1.202729046,1.138770681,1.28619372
1.204165272,1.139934238,1.287930488
1.205602966,1.141293292,1.289667421
1.207042129,1.142363123,1.29140453
1.208482761,1.143434845,1.293141824
1.209924864,1.144508605,1.294893536
1.211368436,1.145584778,1.296650156
1.212813479,1.146681981,1.298390193
1.214259993,1.147836391,1.300130474
1.215707977,1.148993882,1.301871009
1.217157432,1.150153507,1.303611807
1.218608358,1.151315272,1.305350128
1.220060755,1.152479182,1.307087083
1.221514623,1.153645243,1.308824295
1.222969961,1.15481346,1.310561773
1.224426769,1.15598384,1.312299526
1.225885048,1.157156387,1.314037562
1.227344797,1.158336231,1.315792451
1.228806016,1.160026486,1.317548658
1.230268703,1.161277026,1.319292199
1.23173286,1.162428384,1.321036087
1.233198485,1.163582087,1.322780329
1.234665579,1.164738136,1.324524933
1.236134139,1.165896533,1.326269908
1.237604167,1.167057278,1.328015261
1.239075661,1.168219792,1.329761001
1.240548621,1.169334907,1.331507134
1.242023046,1.170455506,1.33325367
1.243498936,1.171727792,1.335000614
1.244976289,1.172898217,1.336747976
1.246455106,1.174071098,1.338495763
1.247935384,1.1752483,1.340243982
1.249417124,1.176427856,1.34199264
1.250900324,1.177609765,1.343741746
1.252384984,1.178794029,1.345491307
1.253871103,1.179980649,1.347241329
1.25535868,1.181169624,1.348991821
1.256847714,1.182360955,1.350742789
1.258338204,1.183554643,1.352494241
1.259830149,1.18475832,1.354246184
1.261323547,1.185984386,1.355998625
1.262818399,1.187212743,1.357751572
1.264314703,1.188443395,1.35950503
1.265812458,1.189676345,1.361259007
1.267311662,1.190911599,1.363013511
1.268812316,1.192149159,1.364768547
1.270314417,1.193389174,1.366524123
1.271817964,1.194633325,1.368280246
1.273322957,1.19587981,1.370036922
1.274829394,1.197128632,1.371794158
1.276337274,1.198379795,1.373551961
1.277846595,1.199682254,1.375310338
1.279357358,1.200884925,1.377069294
1.280869559,1.202136883,1.378828837
1.2823832,1.20339162,1.380588972
1.283898277,1.20465245,1.382415945
1.285414789,1.205915626,1.384367566
1.286932737,1.207181152,1.386320883
1.288452117,1.20844903,1.388275894
1.28997293,1.209719265,1.390232597
1.291495173,1.210993961,1.392190991
1.293018846,1.212271039,1.394151072
1.294543947,1.2135505,1.395981669
1.296070475,1.214832346,1.397759703
1.297598429,1.21611658,1.399538568
1.299127807,1.217403206,1.401311138
1.300658608,1.218692226,1.402928421
1.302190831,1.219983643,1.404121892
1.303724474,1.221277461,1.405310563
1.305259537,1.222580007,1.407066478
1.306796017,1.223925369,1.408836956
1.308333914,1.225204821,1.410608131
1.309873226,1.22648661,1.412459534
1.311413952,1.227775995,1.415018652
