25-29 years,95% UI,,30-34 years,95% UI,,35-39 years,95% UI,,40-44 years,95% UI,,45-49 years,95% UI,,50-54 years,95% UI,,55-59 years,95% UI,,60-64 years,95% UI,,65-69 years,95% UI,,70-74 years,95% UI,,75-79 years,95% UI,,80-84 years,95% UI,,85-89 years,95% UI,,90-94 years,95% UI,,95+ years,95% UI,
1.046703456,1,1.153101578,1.043122407,1,1.151047933,1.039253867,1.002200365,1.118672189,1.035662247,1.000971578,1.106708374,1.032852963,1.002546988,1.094849651,1.029600453,1.003225151,1.084205443,1.026833723,1.003182077,1.068777841,1.023890123,1.002727116,1.062678864,1.021504199,1.002113615,1.059297608,1.018540645,1.002239066,1.049377284,1.015871115,1.001087152,1.043149596,1.013905908,1.000359012,1.043702891,1.011287956,1.001390436,1.03071772,1.008875606,1.000813195,1.026568588,1.006522718,1.000442558,1.019758556
1.049656054,1.000125814,1.158934467,1.045848303,1.000424908,1.156699031,1.041743717,1.003572822,1.123299208,1.037927278,1.002185716,1.110974468,1.034940975,1.003719828,1.098744866,1.031484197,1.00429629,1.08762307,1.028544358,1.004173871,1.071681614,1.025412767,1.003609619,1.065218175,1.022875054,1.00289882,1.061813104,1.019723184,1.002930873,1.05143307,1.016884069,1.001653199,1.044921943,1.014791228,1.000838861,1.045399086,1.012008221,1.001814053,1.032010829,1.009441398,1.001139321,1.02759155,1.00693913,1.000677132,1.020533344
1.052700253,1.001725979,1.164837044,1.048658766,1.001917186,1.162412207,1.044311583,1.005024837,1.128183496,1.04026357,1.003472489,1.115115126,1.037094813,1.004960087,1.102698789,1.033427555,1.005427658,1.091090302,1.030309411,1.005221342,1.074632657,1.026983829,1.004541984,1.067794209,1.024289529,1.003729145,1.064327126,1.020943421,1.003661835,1.053520537,1.017929382,1.002252894,1.046720394,1.015704631,1.001348275,1.047115474,1.012751487,1.002261769,1.033324177,1.010025216,1.001484543,1.0286262,1.007368866,1.000925806,1.021317611
1.055832488,1.003415449,1.170806234,1.051550493,1.003492538,1.168184666,1.046954473,1.00655326,1.133146242,1.042668408,1.00482905,1.119302913,1.039311969,1.006265154,1.10670913,1.035428269,1.006623165,1.094605069,1.03212684,1.006322381,1.077629054,1.028601485,1.005522328,1.070405288,1.025745979,1.004602899,1.066861167,1.022199935,1.004430496,1.055638341,1.019005837,1.002884993,1.048543796,1.016645038,1.001886153,1.048851063,1.013516882,1.002732695,1.034656928,1.010626371,1.001848163,1.0296719,1.007811421,1.00118807,1.022110881
1.059024879,1.005167391,1.176811887,1.054497639,1.005126011,1.173988463,1.049648697,1.008135091,1.138152605,1.045120159,1.006234356,1.123537642,1.04157244,1.007615503,1.110754158,1.037468229,1.007868863,1.098148504,1.033980153,1.007460805,1.080653778,1.030251004,1.006536168,1.073036284,1.027231106,1.005506013,1.069416369,1.023481218,1.005225496,1.057776686,1.020103548,1.003539721,1.050382065,1.017603785,1.002443919,1.05059702,1.014297339,1.003219814,1.035978796,1.011239295,1.002224645,1.030723032,1.008262687,1.001459834,1.022909024
1.062234659,1.006941001,1.182837374,1.057460559,1.006779631,1.179779989,1.052357861,1.009735235,1.143163432,1.047585571,1.007656267,1.12795703,1.043845467,1.008981283,1.11461668,1.039519575,1.009128458,1.101691304,1.035843963,1.008611811,1.083680418,1.031909712,1.007561295,1.075663728,1.028724436,1.00640109,1.071972621,1.024769544,1.006029392,1.059942272,1.02120728,1.004202067,1.052219578,1.018567528,1.003008406,1.052339657,1.015081966,1.003712338,1.037297685,1.011855408,1.002605476,1.0317709,1.00871633,1.0017348,1.023705642
1.065440599,1.008716077,1.189178687,1.060419574,1.00843459,1.185537572,1.055063886,1.011336294,1.148158723,1.05004812,1.009078844,1.132358329,1.046115763,1.01034768,1.118555093,1.041568454,1.010388472,1.10521888,1.037705641,1.009763078,1.086695819,1.033566327,1.008586675,1.078275961,1.030215781,1.007295395,1.074519359,1.026056093,1.006833514,1.062100545,1.022309453,1.004864564,1.05404856,1.019529631,1.003573069,1.054072176,1.015865342,1.004204897,1.038610793,1.012470442,1.002986421,1.032811191,1.009169198,1.002009834,1.024497559
1.068642713,1.010492602,1.195505119,1.063374699,1.010090874,1.191261418,1.057766782,1.01293826,1.15313082,1.052507815,1.010502075,1.136741601,1.048383335,1.011714689,1.122529499,1.04361487,1.011648902,1.108731292,1.039565191,1.010914601,1.089700012,1.035220853,1.009612302,1.080873062,1.031705147,1.00818893,1.077056616,1.02734087,1.007637859,1.064251522,1.02341007,1.00552721,1.055869041,1.020490099,1.004137907,1.055794632,1.01664747,1.00469749,1.039918142,1.0130844,1.003367478,1.033843944,1.009621292,1.002284937,1.0252848
1.071841013,1.01227056,1.201816719,1.066325948,1.011748469,1.196951735,1.060466555,1.014541123,1.158087587,1.054964662,1.011925953,1.141106906,1.050648188,1.013082304,1.126487643,1.045658828,1.012909744,1.112228599,1.041422615,1.012066377,1.092761975,1.036873295,1.010638175,1.083427798,1.033192536,1.009081694,1.079584426,1.028623879,1.008442428,1.066395219,1.024509135,1.006190003,1.057681051,1.021448936,1.004702918,1.057507079,1.017428353,1.005190113,1.041219749,1.013697285,1.003748649,1.034869198,1.010072614,1.002560107,1.026067389
1.075035513,1.014049937,1.208113537,1.069273338,1.013407362,1.202608727,1.063163216,1.016144877,1.163029091,1.057418671,1.013350468,1.145454307,1.052910329,1.014450521,1.130427449,1.047700333,1.014170995,1.115710862,1.043277916,1.0132184,1.095864162,1.038523657,1.011664288,1.085930821,1.034677951,1.009971551,1.082103198,1.029905122,1.009247218,1.068531653,1.025606649,1.006852944,1.059499392,1.022406146,1.005268103,1.059209373,1.018207993,1.005682763,1.042515634,1.0143091,1.004129932,1.035886992,1.010523168,1.002835345,1.02684157
1.078226226,1.015830716,1.214395624,1.072216882,1.015067541,1.208232598,1.065856773,1.017749512,1.167955397,1.059869848,1.01477561,1.149783863,1.055169765,1.015819335,1.134351081,1.049739389,1.015432649,1.119224217,1.0451311,1.014370666,1.098960831,1.040171942,1.012690638,1.088507324,1.036161397,1.010860345,1.084613258,1.031184605,1.010052228,1.070660842,1.026702617,1.007516028,1.061362093,1.023361733,1.005833458,1.060900333,1.018986394,1.006175439,1.043805816,1.014919849,1.004511327,1.036897364,1.010972954,1.003110651,1.027607484
1.081413165,1.017612882,1.220663027,1.075156596,1.016729097,1.213823552,1.068547234,1.01935502,1.17286657,1.062318202,1.016201371,1.154095149,1.057426502,1.017188742,1.138092483,1.051776,1.016694703,1.122694428,1.046982167,1.01552317,1.102051991,1.041818155,1.013717221,1.091082007,1.037642876,1.011754223,1.087114018,1.032462331,1.010857458,1.072782802,1.027797042,1.008179257,1.063219443,1.024315701,1.006398985,1.062580812,1.019763558,1.006668137,1.045090315,1.015529535,1.004892835,1.037900355,1.011421975,1.003386025,1.028368512
1.084596342,1.019396422,1.22691577,1.078092496,1.018392109,1.219381792,1.071234609,1.020961394,1.177762675,1.064763741,1.017627742,1.158386216,1.059680547,1.018558736,1.141785168,1.053810171,1.017957155,1.126125479,1.048831123,1.016675909,1.10513765,1.043462299,1.014744034,1.093642405,1.039122393,1.012642978,1.089605511,1.033738304,1.011662906,1.074919102,1.028889928,1.008842627,1.065071453,1.025268056,1.00696468,1.064251405,1.020539488,1.007160855,1.046369151,1.016138161,1.005274454,1.038896003,1.011870234,1.003661465,1.02912468
1.087775773,1.02118132,1.232991648,1.081024595,1.020056381,1.224907519,1.073918905,1.022568626,1.182593842,1.067206472,1.019054714,1.162659489,1.061931905,1.019929312,1.145453444,1.055841907,1.019219998,1.129541501,1.05067797,1.017828877,1.108217816,1.045104379,1.015771073,1.096153407,1.040599951,1.013530926,1.09208777,1.035012528,1.012468572,1.077057759,1.029981277,1.009506137,1.066918135,1.0262188,1.007530544,1.065912166,1.021314187,1.00765359,1.047642342,1.016745731,1.005656184,1.039884347,1.012317731,1.003936973,1.029876016
1.090951468,1.022967561,1.238785591,1.08395291,1.021721901,1.230400151,1.076600133,1.024176708,1.187090315,1.069646404,1.020482279,1.16691503,1.064180583,1.021300467,1.149340518,1.057871212,1.020483231,1.132942562,1.052522712,1.01898207,1.111178017,1.046744399,1.016798334,1.098649961,1.042075553,1.014418067,1.094560829,1.036285006,1.013274454,1.079188756,1.031071093,1.010169787,1.068759501,1.027167939,1.008096575,1.06756315,1.022087658,1.00814634,1.048909907,1.017352248,1.006038026,1.040865425,1.01276447,1.004212549,1.030622549
1.094123442,1.024755133,1.244548119,1.086877455,1.023388657,1.235857477,1.079278299,1.025785631,1.191557775,1.072083543,1.021910427,1.171152897,1.066426587,1.022672194,1.153333909,1.059898091,1.021746849,1.136328731,1.054365351,1.020135484,1.114095535,1.048382362,1.017825813,1.101132149,1.043549202,1.015304933,1.097024721,1.037555743,1.01408055,1.081313851,1.032159379,1.010833573,1.070595562,1.028115476,1.008662773,1.069204413,1.022859904,1.008639101,1.050171867,1.017957716,1.006419979,1.041839279,1.013210453,1.004488191,1.031364305
1.097291707,1.02654402,1.250279406,1.089798246,1.025056636,1.241282716,1.081953414,1.02739539,1.19599643,1.074517899,1.023339149,1.175373151,1.068669925,1.024044491,1.157179565,1.061922547,1.023010849,1.139700076,1.056205892,1.021289115,1.11700165,1.050018272,1.018853507,1.103642045,1.045020904,1.016191452,1.09947948,1.038824742,1.014886861,1.083378712,1.033246138,1.011497496,1.07228654,1.029061415,1.009229135,1.070836007,1.023630928,1.009131872,1.051427792,1.018562137,1.006802043,1.042805945,1.013655681,1.004763901,1.032101312
