Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
Comoros,0.149737438,0.341506909,0.762223866,1.664552407,2.928746759,4.282770492,5.99363349,7.576616374,8.166859265,8.971320297,7.462432911,4.453474328,1.916461388,0.573659368,0.126444837,,0.17416446,55.37044013
Congo,2.222755146,5.502400359,12.1301857,25.8458773,53.22850699,81.13511892,101.9074955,103.8457182,95.68014294,75.13899297,57.24356603,31.21239191,13.33323271,3.310654545,0.638397939,,2.15221642,662.3754372
Cook Islands,0.02126545,0.033260768,0.055944046,0.176221347,0.27717902,0.519553891,1.054462317,1.043055161,1.690531245,1.07177794,1.82031331,0.927892705,0.667026737,0.182449424,0.103658212,,0.030708605,9.644591573
Costa Rica,1.499888404,3.891191844,4.892687947,8.931364838,17.56780905,31.38499494,54.9355861,76.672858,93.10748603,102.0407073,97.68430201,73.09611369,53.6007586,23.53931283,11.65764129,,1.621874397,654.5027028
Cote d'Ivoire,11.66747722,35.16467245,43.85011338,57.21351592,105.1967482,188.2421513,216.7604092,279.9546808,306.7540705,284.4091767,210.8869079,119.692894,50.13295123,13.29500402,2.617186043,,11.65006827,1925.837959
Croatia,1.212784211,3.349079521,11.01631652,27.02514673,82.19275479,202.7348033,393.0561889,635.8543702,682.2028984,553.1826795,515.5672575,384.4890253,177.0352028,50.84327694,8.491112452,,0.922237235,3728.252897
Cuba,3.339273869,10.3005195,23.15088498,58.74004452,194.5663103,500.1511828,929.6520288,1058.350888,1277.604928,1305.644577,1195.562964,838.4763855,551.8106865,265.8822647,126.0710114,,3.338563476,8339.30395
Cyprus,0.416320108,1.147826224,2.247430503,5.007926336,10.25204919,20.90856479,37.53224501,67.46615923,98.72766604,102.3701017,98.22667426,81.22644284,41.23946532,8.239762311,0.980741245,,0.170781829,575.9893751
Czechia,2.301300614,6.390865747,18.02139913,52.12462045,135.4785881,255.1380812,530.9735169,1032.129468,1611.556738,1719.706563,1207.946246,678.0243016,379.6570066,132.2761331,38.66830393,,1.427580668,7800.393132
Democratic People's Republic of Korea,34.61138093,79.24300922,154.4997749,310.8717973,700.3849836,1334.440031,1676.648371,1985.941388,1757.242376,1780.056875,1529.0327,912.7002847,361.7494474,105.561844,24.7176624,,25.08387365,12747.70193
Democratic Republic of the Congo,31.05267468,74.49131251,154.2933974,304.1756267,635.7487213,1097.729397,1546.112021,1621.335289,1394.627277,1024.064686,642.5236182,358.1314776,150.8265919,42.9438815,9.987565016,,38.75749284,9088.043537
Denmark,1.414916167,3.873809623,8.978845823,23.78988263,64.50613085,163.5874612,299.2279271,490.3745021,705.366004,1061.611971,910.1903241,730.614907,375.8242787,155.5078126,56.17545001,,1.137290336,5051.044223
Djibouti,0.310164089,0.868727468,1.978704089,4.386785965,7.946939447,10.82054353,15.86271818,18.50883225,18.53503859,17.52020685,10.74283325,4.554605596,1.6238724,0.377508093,0.065665302,,0.310496976,114.1031451
Dominica,0.034377906,0.080666115,0.169950532,0.309709183,0.673128976,1.428907071,2.15482197,2.736036669,2.975335719,2.996974738,2.939270829,2.585237055,1.478167226,0.62529103,0.154013526,,0.050862444,21.34188854
Dominican Republic,8.366092018,18.93117696,30.52907174,56.59760752,95.55763056,165.3197285,213.1266263,294.214447,282.4855157,293.8638556,221.1610114,187.74198,137.4001767,51.43393942,15.70962559,,13.22240553,2072.438485
