Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 25,over 25
Burundi,40.10088365,72.0851428,121.2675973,170.4637737,272.1008338,394.4831127,564.8025307,680.8497402,650.0983143,647.729605,578.8088188,523.5585798,339.5257888,125.250186,38.04955679,,60.4783679,5219.174464
Cabo Verde,1.507532629,3.546945185,6.094284881,7.682139104,14.59605959,21.26961185,30.59034537,34.4316048,38.98574973,47.59418521,77.12858514,120.3094964,105.3724216,53.07800465,32.69233717,,1.516837032,594.8793034
Cambodia,90.36048165,146.6145908,212.8713094,328.495504,562.2934187,958.664501,1260.77801,1478.270671,1671.867163,1706.821974,1793.611843,1699.469627,1211.966107,517.263702,156.1568512,,74.53145694,13795.50575
Cameroon,68.33802435,158.9048638,256.5530846,399.8493629,632.5390637,923.9125077,1196.437461,1581.377092,1793.955675,1996.430346,1902.678968,1550.300244,915.2363336,382.3347187,108.9303338,,133.5614755,13867.77808
Canada,28.41722934,64.81788395,127.1090595,261.021244,516.1368319,1098.189138,1873.532028,2785.952465,3615.352801,4338.766445,5160.871275,7042.940545,9505.088842,8080.761162,5010.44829,,13.32358526,49509.40524
Central African Republic,21.73230482,46.6426984,82.93544796,163.6388285,300.0738824,387.2250338,454.1976889,474.813815,436.7107909,422.5827505,324.6533551,229.2244697,101.6526304,33.14256186,7.942745264,,33.26151595,3487.169003
Chad,27.6951914,61.8942123,97.87877687,174.052666,279.5465332,434.7755116,507.2538539,721.5718912,875.1481185,1084.925679,967.3819314,833.8131925,443.2733609,205.6855329,68.71866716,,57.18019114,6783.615119
Chile,18.22338459,32.69893298,69.01428155,138.4843629,255.7958333,486.8308035,700.0184834,912.649976,1179.390954,1411.09846,1551.46927,1757.443806,1963.56274,1332.058059,744.1214662,,11.80363283,12552.86081
China,5273.623881,9576.362338,14246.70675,28654.11661,48932.58049,75506.55081,81684.17089,141812.6423,181192.5276,230979.3071,295904.7608,399547.96,323195.9993,128270.1406,39309.03667,,3688.619609,2004086.486
Colombia,108.4873808,182.7201324,303.7369519,448.1104624,811.2098426,1463.862253,2188.326839,3170.186171,3917.991747,4864.343398,5931.863065,7056.329499,6593.040485,4785.448895,3559.163678,,114.4992213,45384.8208
Comoros,2.651140429,4.782441681,8.4963217,14.60239279,21.45535684,29.51159362,38.68910764,52.39795452,60.90855658,83.63997659,86.35853016,83.3553164,56.53516201,26.86362125,9.396412615,,3.903753516,579.6438848
Congo,17.51475897,39.95074588,71.45692832,129.052038,213.3341011,272.9098642,345.0115578,405.4693926,459.5964192,500.5990712,473.3759212,388.4937121,224.6513292,78.05724813,19.81838889,,18.72959007,3639.291477
Cook Islands,0.077331991,0.212163917,0.385157978,0.763438246,1.259863557,1.815535221,2.700107567,2.618814452,3.233009105,2.925091948,4.118111174,3.597142663,3.327611235,1.645532415,0.787515726,,0.046713874,29.4664272
Costa Rica,9.758638571,19.33379903,31.21089704,49.53954095,89.31430075,167.7331738,241.9261086,326.9799218,388.9877586,427.2697471,494.4372319,553.8129691,545.7510161,385.9290939,359.4644183,,7.453876635,4091.448615
Cote d'Ivoire,66.02173443,162.3964067,287.2406208,449.2260162,657.0141918,925.8417529,1082.312951,1385.258459,1575.875841,1644.245758,1506.083056,1310.722553,776.5229211,342.4611771,106.2355482,,111.3947681,12277.45899
Croatia,3.04941274,9.380801192,23.79583833,58.02428702,121.6367301,233.4379639,405.9348745,687.01092,931.8998262,1124.217183,2026.30126,3234.777786,3354.422668,1881.716301,561.7426879,,2.029593479,14657.34854
Cuba,15.7717159,35.52157489,55.52407227,158.951319,373.7681805,759.3191901,1036.836544,1478.788861,2129.16563,2782.652736,3412.266598,3696.254672,3497.881698,2836.736738,1956.14474,,8.406504205,24225.58427
