LRI,95% UI,
1.110081785,1.053935569,1.190927031
1.110789949,1.054335925,1.192087594
1.111498113,1.054736291,1.193248141
1.112206276,1.055136668,1.194408674
1.11291444,1.055540856,1.19556403
1.113622603,1.055945053,1.196719373
1.114330767,1.056349258,1.197874703
1.11503893,1.056753471,1.199030022
1.115747094,1.057157694,1.200185327
1.116455257,1.057561924,1.20134062
1.117160177,1.057963091,1.20249241
1.117865097,1.058364269,1.203644185
1.118570018,1.058765456,1.204795946
1.119274938,1.059166653,1.205947692
1.119979858,1.059571005,1.207095927
1.120684778,1.059975364,1.20824415
1.121389698,1.060379732,1.209392361
1.122094618,1.060784108,1.21054056
1.122799539,1.061188492,1.211688746
1.123504459,1.061592884,1.212836921
1.124206151,1.061994236,1.213981598
1.124907843,1.062395596,1.215126261
1.125609536,1.062796967,1.21627091
1.126311228,1.063198346,1.217415545
1.12701292,1.063602857,1.218556702
1.127714612,1.064007376,1.219697847
1.128416305,1.064411902,1.22083898
1.129117997,1.064816437,1.221980102
1.129819689,1.065220979,1.223121212
1.130521382,1.065625529,1.224262311
1.131219862,1.06602706,1.225399918
1.131918342,1.0664286,1.226537511
1.132616821,1.066830149,1.227675091
1.133315301,1.067231707,1.228812657
1.134013781,1.067636373,1.229946216
1.134712261,1.068041047,1.231079763
1.135410741,1.068445728,1.2322133
1.136109221,1.068850417,1.233346825
1.136807701,1.069255114,1.234480338
1.137506181,1.069659818,1.235613841
1.138201464,1.070061524,1.236743859
1.138896747,1.070463239,1.237873863
1.13959203,1.070864963,1.239003854
1.140287313,1.071266696,1.240133832
1.140982596,1.071671514,1.241212327
1.14167788,1.072076339,1.242290812
1.142373163,1.072481171,1.243369288
1.143068446,1.072886011,1.244447754
1.143763729,1.073290858,1.245526211
1.144459012,1.073695713,1.246604658
1.145151114,1.07409759,1.24767963
1.145843215,1.074499477,1.248754591
1.146535317,1.074901372,1.24982954
1.147227419,1.075303275,1.250904478
1.147919521,1.075708241,1.25195477
1.148611622,1.076113214,1.253005053
1.149303724,1.076518194,1.254055328
1.149995826,1.076923181,1.255105594
1.150687928,1.077328175,1.256155851
1.15138003,1.077733176,1.2572061
1.152068965,1.078135221,1.258252883
1.152757901,1.078537275,1.259299656
1.153446837,1.078939337,1.260346418
1.154135773,1.079341407,1.261393171
1.154824709,1.079746517,1.262430866
1.155513645,1.080151635,1.263468553
1.156202581,1.080556759,1.264506233
1.156891517,1.080961889,1.265543904
1.157580453,1.081367027,1.266581566
1.158269389,1.081772171,1.267619221
1.158955174,1.082174381,1.26865342
1.15964096,1.082576598,1.269687608
1.160326746,1.082978824,1.270721787
1.161012531,1.083381057,1.271755957
1.161698317,1.083786308,1.272781527
