PTB,95% UI,
1.157486873,1.032737295,1.302753342
1.158077714,1.032870264,1.303867595
1.15866834,1.033003239,1.304979691
1.159258749,1.033136219,1.306089627
1.159848942,1.033269204,1.307197401
1.160438918,1.033402194,1.308303008
1.161028678,1.033535189,1.309406448
1.161618222,1.033668189,1.310507717
1.162207549,1.033801194,1.311606813
1.16279666,1.033934203,1.312703734
1.163385554,1.034067216,1.313798477
1.163974231,1.034200234,1.314891042
1.164562692,1.034333256,1.315981427
1.165150935,1.034466282,1.317069631
1.165738963,1.034599313,1.318155651
1.166326773,1.034732347,1.319239488
1.166914368,1.034865386,1.32032114
1.167501745,1.034998427,1.321477609
1.168088907,1.035131476,1.322763115
1.168675852,1.035264693,1.324010342
1.16926258,1.035397913,1.324973315
1.169849093,1.035531136,1.325882118
1.17043539,1.035664361,1.326790539
1.171021471,1.035797589,1.327831502
1.171607337,1.035930819,1.328895667
1.172192987,1.036064052,1.329957647
1.172778422,1.036197286,1.331017443
1.173363641,1.036330522,1.332075056
1.173948647,1.03646376,1.333130486
1.174533437,1.036597,1.334183736
1.175118013,1.036730242,1.335234805
1.175702376,1.036863485,1.336283696
1.176286524,1.036996729,1.337330411
1.17687046,1.037129974,1.33837495
1.177454182,1.037263221,1.339417316
1.178037691,1.037396468,1.340457511
1.178620988,1.037529831,1.341495536
1.179204072,1.03766401,1.342531394
1.179786945,1.037798195,1.343565088
1.180369607,1.037932386,1.344596619
1.180952057,1.038066581,1.345679193
1.181534297,1.038200781,1.346786013
1.182116327,1.038334986,1.347893096
1.182698147,1.038469195,1.349000444
1.183279757,1.038603408,1.350108056
1.183861159,1.038737626,1.351215933
1.184442352,1.038871848,1.352324074
1.185023338,1.039006074,1.353432481
1.185604115,1.039140303,1.354541153
1.186184686,1.039274536,1.35565009
1.18676505,1.039408773,1.356759294
1.187345209,1.039543012,1.357868763
1.187925161,1.039677255,1.358978498
1.188504909,1.0398115,1.360088499
1.189084453,1.039945748,1.361198766
1.189663792,1.040079999,1.3623093
1.190242929,1.040214252,1.363420099
1.190821862,1.040348507,1.364531165
1.191400594,1.040482764,1.365642497
1.191979124,1.040617022,1.366754095
1.192557452,1.040751283,1.36786596
1.193135581,1.040885545,1.36897809
1.19371351,1.041019808,1.370090486
1.19429124,1.041154072,1.371203148
1.194868771,1.041288337,1.372316075
1.195446105,1.041422603,1.373429268
1.196023241,1.04155687,1.374542726
1.196600181,1.041691136,1.375656449
1.197176925,1.041825403,1.376770437
1.197753474,1.04195967,1.377884689
1.198329828,1.042093937,1.378999206
1.198905989,1.042228203,1.380113986
1.199481956,1.042362469,1.381229031
1.200057731,1.042496734,1.382344339
1.200633315,1.042630998,1.383459909
1.201208707,1.042765261,1.384575743
1.201783909,1.042899522,1.385691838
1.202358922,1.043033782,1.386808196
1.202933746,1.04316804,1.387924815
1.203508381,1.043302297,1.389041695
1.20408283,1.043436551,1.390158835
1.204657092,1.043570803,1.391276236
1.205231168,1.043705052,1.392393896
1.205805059,1.043839299,1.393511816
1.206378765,1.043973543,1.394629994
1.206952288,1.044107783,1.395748429
1.207525629,1.044238894,1.396867123
1.208098787,1.044352769,1.397986073
1.208671764,1.0444666,1.399105279
1.209244561,1.044580387,1.400224742
1.209817178,1.044694131,1.401344459
1.210389616,1.044807831,1.402464431
1.210961876,1.044921487,1.403584656
1.211533959,1.045035101,1.404705134
1.212105866,1.045148671,1.405825865
1.212677597,1.045262198,1.406946848
1.213249153,1.045375682,1.408068081
1.213820534,1.045489123,1.409189565
1.214391743,1.045602522,1.410311298
1.214962779,1.045737103,1.41143328
1.215533644,1.045886784,1.41255551
1.216104338,1.046036537,1.413677987
1.216674862,1.04618636,1.41480071
1.217245216,1.046336254,1.415923679
1.217815403,1.046486218,1.417046892
1.218385422,1.046636252,1.418170349
1.218955274,1.046786355,1.419294049
1.21952496,1.046936528,1.420417991
1.220094481,1.047086769,1.421542174
1.220663838,1.047237078,1.422666598
1.221233031,1.047387456,1.42379126
1.221802062,1.047537902,1.424916162
1.222370931,1.047688414,1.4260413
1.222939639,1.047838994,1.427166675
1.223508187,1.047983297,1.428292285
1.224076576,1.04811635,1.42941813
1.224644806,1.048249392,1.430671871
1.225212879,1.048384656,1.431964485
1.225780794,1.048524556,1.433253748
1.226348554,1.048664489,1.434539654
1.226916158,1.04891326,1.435822199
1.227483608,1.049064917,1.437101377
1.228050904,1.049216638,1.438377183
1.228618048,1.049368423,1.439649612
1.229185039,1.049520273,1.440918661
1.229751879,1.049672186,1.442184326
1.230318569,1.049824163,1.44333294
1.23088511,1.049976202,1.444463092
1.231451501,1.050128304,1.445593415
1.232017745,1.050280468,1.44672391
1.232583841,1.050370099,1.447854579
1.233149791,1.050456262,1.448985422
1.233715596,1.050542219,1.45011644
1.234281255,1.050627969,1.451247635
1.234846771,1.050713515,1.452379007
1.235412143,1.050801236,1.453510557
1.235977373,1.050933317,1.454642287
1.236542461,1.051065378,1.455774196
1.237107408,1.051197418,1.456906287
1.237672215,1.051329436,1.45803856
1.238236883,1.051461434,1.459171016
1.238801412,1.05159341,1.460299416
1.239365803,1.051725365,1.461425228
1.239930057,1.051857298,1.462754641
1.240494175,1.051989208,1.46432022
