Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
Croatia,1.118701893,1.779477583,2.567128234,4.209661392,6.460135207,11.38142198,19.73227513,31.68867727,47.01345689,53.87244169,92.27064592,139.3823367,147.8676509,79.4634017,23.56201763,,3.925961091,6.415157514,662.3694301,668.7845876
Cuba,13.8403647,19.82370072,21.8106572,48.89525725,92.48201745,158.9001316,210.5452768,323.8827053,483.5437088,783.4196322,1169.219428,1337.468085,1457.217284,1250.288264,997.9173658,,71.51532994,95.49449389,8369.25388,8464.748374
Cyprus,0.412647678,0.49773067,0.800776295,1.563129286,1.669189117,2.732654648,3.766428618,5.711149488,8.820027013,13.91844768,24.88576938,45.54349459,54.13217592,28.11724838,7.824578886,,0.971613563,1.494539544,200.3954476,201.8899871
Czechia,10.82899312,15.55930714,25.334364,39.56081514,48.62160794,76.34985147,106.1214828,195.3013939,303.6141547,419.6993887,487.7058821,637.7710769,793.3316726,550.6988402,235.4224515,,22.56980617,42.00619895,3945.921282,3987.927481
Democratic People's Republic of Korea,72.05391509,73.82299348,83.77329088,113.6593021,202.7849119,296.1393829,355.0093333,476.5175102,553.4085625,1078.870621,1395.285641,1681.654043,1215.311893,641.8343647,224.1279186,,1005.108935,1212.626883,8464.253684,9676.880567
Democratic Republic of the Congo,1095.391311,1141.667596,1280.913864,1669.817422,2164.541223,2932.935622,3592.763158,4499.817605,4198.799091,4401.072274,4548.053849,4108.313714,2716.877891,1228.202496,437.0966557,,26492.83076,31211.72332,40016.26377,71227.98709
Denmark,1.480167554,2.14254899,2.909456487,6.221889212,9.370718801,16.88938113,29.72373329,51.92241762,92.28098654,175.4131633,267.2673204,436.0785521,630.2371282,690.9426039,509.7684892,,4.795027537,7.656200395,2922.648557,2930.304757
Djibouti,11.61346812,13.62939627,16.32299598,21.8237025,25.6906401,31.71846734,35.49690507,49.25067166,48.85229973,51.37432537,50.45880849,38.80200748,21.91554708,9.172881541,3.264173223,,419.1838608,463.8375327,429.38629,893.2238227
Dominica,0.221272125,0.277163462,0.315154507,0.343515065,0.520119576,0.799215489,1.132492327,1.579697766,2.084359472,3.217911205,5.116791708,7.260269016,6.866002779,4.65391637,2.26101302,,2.298826761,2.841848334,36.64889389,39.49074222
Dominican Republic,40.89757855,50.23200404,51.19393621,63.06070663,77.63938186,96.17233746,105.2551195,149.1445491,168.323969,237.3225738,234.0360967,295.2972122,395.803928,234.3105806,120.0659284,,485.5213012,614.7707685,2318.755902,2933.526671
