COPD,95% UI,
1.150104476,1.094622926,1.213282015
1.151078807,1.095312743,1.214543042
1.152047749,1.095997445,1.215798369
1.153016691,1.096682163,1.217053682
1.153985634,1.097366896,1.218308979
1.154954576,1.098051644,1.219564262
1.155923518,1.098741766,1.22069063
1.156892461,1.0994319,1.221816993
1.157861403,1.100122047,1.222943351
1.158830345,1.100812206,1.224069703
1.159799288,1.101502377,1.225196049
1.16076823,1.102192561,1.22632239
1.161731858,1.102877711,1.22744311
1.162695485,1.103562876,1.228563824
1.163659113,1.104248055,1.229684531
1.164622741,1.104933248,1.230805232
1.165586368,1.10562373,1.232075842
1.166549996,1.106314224,1.233346439
1.167513623,1.107004729,1.234617023
1.168477251,1.107695246,1.235887594
1.169440879,1.108385775,1.237158152
1.170404506,1.109076316,1.238428696
1.171362893,1.109761902,1.239693681
1.17232128,1.110447503,1.240958651
1.173279667,1.111133117,1.242223606
1.174238054,1.111818744,1.243488545
1.175196441,1.112501256,1.244747236
1.176154828,1.11318378,1.246005914
1.177113215,1.113866315,1.24726458
1.178071602,1.114548861,1.248523234
1.179029989,1.115231419,1.249781875
1.179988376,1.115913988,1.251040504
1.180941596,1.116591684,1.252293642
1.181894817,1.117269392,1.253546766
1.182848037,1.117947114,1.254799875
1.183801257,1.11862485,1.25605297
1.184754477,1.119294735,1.257248397
1.185707698,1.119964632,1.258443815
1.186660918,1.12063454,1.259639224
1.187614138,1.12130446,1.260834624
1.188567359,1.121974391,1.262030015
1.189520579,1.122644334,1.263225397
1.190468707,1.123309482,1.264415361
1.191416834,1.123974644,1.265605314
1.192364962,1.124639819,1.266795257
1.19331309,1.125305008,1.267985189
1.194261217,1.125977112,1.26927964
1.195209345,1.126649227,1.270574076
1.196157473,1.127321353,1.271868499
1.1971056,1.12799349,1.273162907
1.198053728,1.128665637,1.274457302
1.199001856,1.129337795,1.275751683
1.199944965,1.130005238,1.27704071
1.200888074,1.130672693,1.27832972
1.201831183,1.13134016,1.279618714
1.202774292,1.13200764,1.280907692
1.203717401,1.132697032,1.28216036
1.20466051,1.133386433,1.283413017
1.205603619,1.134075844,1.284665661
1.206546728,1.134765263,1.285918294
1.207489837,1.135454693,1.287170916
1.208432946,1.136144131,1.288423526
1.20937111,1.136828931,1.289670851
1.210309275,1.137513741,1.290918163
1.211247439,1.138198563,1.292165461
1.212185604,1.138883395,1.293412745
1.213123768,1.139573309,1.294673603
1.214061932,1.140263232,1.295934449
1.215000097,1.140953164,1.297195283
1.215938261,1.141643104,1.298456106
1.216876426,1.142333054,1.299716916
1.21781459,1.143023012,1.300977714
1.218747884,1.143708408,1.302233297
1.219681178,1.144393815,1.303488865
1.220614472,1.145079231,1.30474442
