PTB,95% UI,
1.158940398,1,1.386874465
1.159327868,1,1.387676406
1.159715338,1,1.388478342
1.160102808,1,1.389280274
1.160487489,1,1.390078858
1.160872169,1,1.390877437
1.16125685,1,1.391676008
1.161641531,1,1.392474572
1.162026211,1,1.393604523
1.162410892,1,1.394734463
1.162795572,1,1.395864393
1.163180253,1,1.396994313
1.163564934,1,1.398124223
1.163949614,1,1.399254123
1.164331521,1,1.400380677
1.164713428,1,1.401507217
1.165095335,1,1.402633745
1.165477242,1,1.40376026
1.165859149,1,1.404886387
1.166241056,1,1.406012504
1.166622963,1,1.407138611
1.16700487,1,1.408264709
1.167386777,1,1.409390796
1.167768684,1,1.410516874
1.168147808,1,1.411639579
1.168526932,1,1.41276227
1.168906055,1,1.413884949
1.169285179,1,1.415007614
1.169664303,1,1.415994091
1.170043427,1,1.416980559
1.17042255,1,1.41796702
1.170801674,1,1.418953473
1.171180798,1,1.419939919
1.171559922,1,1.420926356
1.171936212,1,1.421909349
1.172312503,1,1.422892332
1.172688794,1,1.423875304
1.173065085,1,1.424858266
1.173441376,1,1.42588287
1.173817667,1,1.426907466
1.174193958,1,1.427932054
1.174570249,1,1.428956633
1.17494654,1,1.429981204
1.175322831,1,1.431005766
1.17569623,1,1.432026799
1.17606963,1,1.43304782
1.176443029,1,1.43406883
1.176816429,1,1.43508983
1.177189828,1,1.43607951
1.177563228,1,1.437069183
1.177936627,1,1.438058847
1.178310027,1,1.439048504
1.178683426,1,1.440038153
1.179056826,1,1.441027794
1.179427269,1,1.442013813
1.179797711,1,1.442999821
1.180168154,1,1.443985818
1.180538597,1,1.444971805
1.18090904,1,1.445990293
1.181279483,1,1.447008772
1.181649925,1,1.448027243
1.182020368,1,1.449045706
1.182390811,1,1.45006416
1.182761254,1,1.451082606
1.183128661,1,1.452097319
1.183496068,1,1.45311202
1.183863476,1,1.45412671
1.184230883,1,1.455141388
1.184598291,1,1.456008734
1.184965698,1,1.456876074
1.185333105,1,1.457743408
1.185700513,1,1.458610736
1.18606792,1,1.459478057
1.186435327,1,1.460345372
1.186799616,1,1.461208841
1.187163905,1,1.462072302
1.187528194,1,1.462935755
1.187892482,1,1.463799199
1.188256771,1,1.464669495
1.18862106,1,1.465539784
1.188985348,1,1.466410067
1.189349637,1,1.467280344
1.189713926,1,1.468150614
1.190078215,1,1.469020878
1.190439295,1,1.469887174
1.190800375,1,1.470753461
1.191161454,1,1.471619739
1.191522534,1,1.472486009
1.191883614,1,1.473349085
1.192244694,1,1.474212154
1.192605774,1,1.475075217
1.192966854,1,1.475938274
1.193327934,1,1.476801325
1.193689014,1,1.477664369
1.194046778,1,1.478523301
1.194404542,1,1.479382224
1.194762306,1,1.480241139
1.19512007,1,1.481100045
1.195477834,1,1.482177817
1.195835598,1,1.48325558
1.196193362,1,1.484333333
1.196551126,1,1.485411076
1.19690889,1,1.486488809
1.197266654,1,1.487566533
1.197620982,1,1.488639975
1.197975309,1,1.489713404
1.198329636,1,1.490786819
1.198683963,1,1.491860222
1.199038291,1,1.492803282
1.199392618,1,1.493746334
1.199746945,1,1.494689378
1.200101273,1,1.495632415
1.2004556,1,1.496575443
1.200809927,1,1.497518464
1.201160686,1,1.498457026
1.201511446,1,1.499395577
1.201862205,1,1.500334117
1.202212964,1,1.501272647
1.202563723,1,1.502326281
1.202914482,1,1.503379904
1.203265242,1,1.504433518
1.203616001,1,1.505487123
1.20396676,1,1.506540717
1.204317519,1.000024294,1.507594302
1.204664573,1.000052706,1.508643236
1.205011626,1.000081124,1.509692157
1.20535868,1.000109548,1.510741064
1.205705733,1.000137977,1.511789958
1.206052787,1.000168813,1.512489902
1.20639984,1.000199654,1.513189843
1.206746894,1.000230499,1.513889779
1.207093947,1.000261348,1.51458971
1.207441001,1.000292201,1.515289638
1.207788054,1.000323058,1.515989561
1.208131264,1.000350737,1.516684654
1.208474473,1.000378421,1.517379741
1.208817683,1.000406111,1.518074822
1.209160892,1.000433807,1.518769897
1.209504101,1.00046399,1.519284796
1.209847311,1.000494178,1.519799692
1.21019052,1.00052437,1.520314588
1.210533729,1.000554566,1.520829482
1.210876939,1.000584766,1.521344375
1.211220148,1.00061497,1.521859266
1.211559369,1.000641884,1.522369144
1.211898589,1.000668804,1.52287902
1.21223781,1.00069573,1.523388894
1.212577031,1.000722662,1.523898766
1.212916251,1.000752166,1.524793506
1.213255472,1.000781675,1.525688238
1.213594693,1.000811188,1.526582962
1.213933913,1.000840706,1.527477678
1.214273134,1.000870227,1.528372387
1.214612355,1.000899753,1.529267087
1.214947435,1.000925872,1.530156566
1.215282516,1.000951997,1.531046034
1.215617597,1.000978128,1.531935491
1.215952678,1.001004265,1.532824936
1.216287758,1.001033061,1.533766264
1.216622839,1.001061861,1.534707584
1.21695792,1.001090665,1.535648894
1.217293001,1.001119473,1.536590195
1.217628082,1.001148285,1.537531488
1.217963162,1.001177102,1.538472771
1.218293946,1.001202392,1.539408617
1.21862473,1.001227688,1.54034445
1.218955514,1.001252989,1.54128027
1.219286298,1.001278297,1.542216078
1.219617082,1.001306353,1.543144061
1.219947866,1.001334414,1.544072036
1.22027865,1.001362479,1.545000002
1.220609434,1.001390548,1.545927959
1.220940218,1.001418621,1.546855907
1.221271002,1.001446699,1.547783846
1.221597328,1.001471126,1.548706124
1.221923653,1.001495559,1.549628389
1.222249979,1.001519998,1.550550642
1.222576304,1.001544443,1.551472882
1.22290263,1.001571731,1.552285966
1.223228955,1.001599024,1.553099042
1.223555281,1.001626322,1.553912111
1.223881606,1.001653623,1.554725173
1.224207932,1.001680929,1.555538228
1.224534258,1.001708239,1.556351276
1.224855957,1.00173177,1.557158435
1.225177657,1.001755307,1.557965585
1.225499356,1.001778851,1.558772724
1.225821056,1.0018024,1.559579853
1.226142755,1.001828893,1.560254135
1.226464455,1.001855389,1.560928412
1.226786154,1.001881891,1.561602685
1.227107854,1.001908396,1.562276952
1.227429553,1.001934906,1.562951215
1.227751252,1.00196142,1.563625473
1.228068156,1.001984025,1.564293617
1.228385059,1.002006636,1.564961753
1.228701962,1.002029254,1.565629883
1.229018865,1.002051877,1.566298006
1.229335769,1.002077547,1.567025386
1.229652672,1.002103221,1.56775276
1.229969575,1.002128899,1.568480128
1.230286478,1.002154581,1.56920749
1.230603382,1.002180268,1.569934846
1.230920285,1.002205959,1.570662196
1.231232222,1.002227612,1.571383201
1.231544158,1.002249271,1.572104198
1.231856095,1.002270936,1.572825186
1.232168032,1.002292607,1.573546165
1.232479969,1.002317431,1.57426974
1.232791906,1.00234226,1.574993309
1.233103842,1.002367093,1.575716871
1.233415779,1.002391931,1.576440427
1.233727716,1.002416773,1.577163977
1.234039653,1.002441619,1.577887521
1.234346452,1.002462297,1.578604489
1.234653252,1.002482982,1.579321448
1.234960052,1.002503673,1.580038398
1.235266851,1.00252437,1.580755339
1.235573651,1.002548329,1.581469012
1.235880451,1.002572293,1.582182678
1.236187251,1.00259626,1.582896338
1.23649405,1.002620233,1.583609991
