Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
Comoros,0.270514237,0.073544643,0.040074788,0.19465544,0.316338902,0.308864633,0.468801156,0.665020857,1.058331583,1.784180028,2.996607274,5.378424801,9.184041392,11.95403403,18.98976201,19.1319306,18.05031061,9.360201056,4.755047469,1.137145087,,105.2227026,106.1178306
Congo,0.990084193,0.256731423,0.197628382,0.865418543,1.356539731,1.536651733,3.151559865,4.293643377,9.17569098,16.73879084,26.00600414,41.8767144,62.02254422,76.6375818,95.57261837,96.3260845,80.09153424,46.11585561,18.74059419,4.06120399,,582.3470722,586.0134745
Cook Islands,0.000175226,0.000137364,0.000361003,0.004035779,0.009094976,0.00939762,0.018526379,0.026444553,0.043819997,0.081678031,0.147581084,0.236543491,0.304593227,0.529787519,0.586285676,0.98746273,0.93643974,0.811277184,0.490541855,0.201139368,,5.411518453,5.425322801
Costa Rica,0.556382949,0.144580658,0.095626726,0.297416703,0.753447753,0.71788796,1.247470763,1.970345409,2.562343907,4.443473303,8.524174683,18.75567004,38.77171912,56.37446523,93.95327553,154.8641443,204.9810182,228.7016246,166.5363689,136.177395,,1118.581377,1120.428832
Cote d'Ivoire,8.183595043,1.127481529,1.052632753,23.71683534,5.578058429,19.90788059,27.69411853,24.84272819,38.46754107,57.29351371,109.6045833,122.6497031,189.0140121,252.4785154,298.0503907,283.6802032,216.2955673,129.9337116,53.87488306,13.51206908,,1837.299421,1876.958024
Croatia,0.08775114,0.04828476,0.047516564,0.202290158,0.248489309,0.379343917,0.594407474,1.039583895,2.487230453,6.510633254,16.24242336,39.05218772,85.98058701,140.1590542,178.8342997,320.3730669,438.3691667,349.7620512,147.8459678,27.81304096,,1755.443045,1756.077376
Cuba,0.317181657,0.188400113,0.198397626,0.561203116,0.95362657,1.1459346,2.027786047,4.190686384,13.03433512,31.49722454,94.00847777,184.5431175,310.1980631,506.428914,640.1399604,743.3068684,667.1662715,534.8134821,337.5191638,185.6242194,,4255.644505,4257.863314
Cyprus,0.007876068,0.010741051,0.015800858,0.035369767,0.058137882,0.075929402,0.100670669,0.242146826,0.370501391,0.802754661,2.174424325,4.515184049,10.82650622,22.14041528,39.41337996,68.73603582,109.1988548,91.13060571,38.85288925,9.253973253,,397.8342716,397.9621973
Czechia,0.185776979,0.106436827,0.16217317,0.410947728,1.076061349,1.314067402,2.161905951,4.03591765,11.39747533,25.1634177,52.17182873,118.8785426,296.408934,506.4046112,653.6158382,605.9271991,588.0532197,519.8476517,245.6772796,83.19558449,,3714.253473,3716.194869
Democratic People's Republic of Korea,0.642683701,0.513558577,0.758548365,8.454341655,15.04751688,19.12552401,31.40702808,52.39998086,124.4501829,326.7532844,693.3159487,1126.935582,2011.036243,2622.701555,5188.983894,6087.150436,5565.950414,3241.522756,1331.895949,372.1733803,,28795.80216,28821.21881
