DM,95% UI,
1.20721184,1.101564513,1.313139215
1.208085972,1.10214855,1.314100883
1.208960105,1.102732652,1.315062548
1.209834237,1.103316821,1.31602421
1.21070837,1.103865383,1.316830819
1.211582502,1.104413997,1.317637458
1.212456635,1.104962664,1.318444128
1.213330767,1.105511383,1.319250828
1.2142049,1.106060154,1.320057558
1.215079032,1.106608977,1.320864318
1.215901519,1.107110826,1.321614973
1.216724006,1.107612749,1.322365669
1.217546493,1.108114743,1.323116407
1.218368979,1.10861681,1.323867188
1.219191466,1.109137071,1.324804154
1.220013953,1.109657378,1.325741112
1.220836439,1.11017773,1.326678062
1.221658926,1.110698128,1.327615002
1.222481413,1.11121857,1.328551935
1.2233039,1.111739058,1.329488858
1.224076648,1.112214397,1.330371715
1.224849395,1.112689799,1.33125456
1.225622143,1.113165265,1.332137393
1.226394891,1.113640793,1.333020215
1.227167639,1.114134388,1.33394958
1.227940387,1.114628023,1.334878929
1.228713135,1.115121696,1.335808261
1.229485883,1.115615409,1.336737576
1.230258631,1.116109161,1.337666874
1.231031379,1.116602951,1.338596156
1.23175621,1.117053326,1.339473314
1.232481042,1.117503757,1.340350449
1.233205874,1.117954241,1.34122756
1.233930705,1.118404781,1.342104648
1.234655537,1.119003203,1.343069116
1.235380369,1.119601637,1.344033552
1.2361052,1.12020008,1.344997957
1.236830032,1.120798534,1.34596233
1.237554864,1.121396998,1.346926672
1.238279695,1.121995473,1.347890983
1.238958362,1.122552131,1.348805005
1.239637029,1.123108803,1.349718983
1.240315695,1.123665489,1.350632916
1.240994362,1.124222191,1.351546806
1.241673029,1.124725841,1.352373244
1.242351695,1.125229511,1.353199667
1.243030362,1.125733199,1.354026075
1.243709028,1.126236906,1.354852469
1.244387695,1.126740632,1.355678848
1.245066362,1.127244376,1.356505212
1.245700612,1.12770793,1.357283167
1.246334863,1.12817151,1.358061101
1.246969113,1.128635117,1.358839014
1.247603364,1.12909875,1.359616907
1.248237614,1.129552565,1.360471347
1.248871864,1.130006399,1.361325762
1.249506115,1.130460252,1.36218015
1.250140365,1.130914125,1.363034513
1.250774616,1.131368016,1.363888849
1.251408866,1.131821927,1.364743159
1.252000449,1.132237271,1.365550906
1.252592031,1.132652642,1.366358615
1.253183614,1.133068039,1.367166288
1.253775196,1.133483465,1.367973923
1.254366779,1.133914717,1.36882281
1.254958361,1.134345986,1.369671665
1.255549944,1.13477727,1.37052049
1.256141526,1.13520857,1.371369284
1.256733109,1.135639885,1.372218047
1.257324691,1.136071216,1.373066779
1.257875345,1.136465585,1.373870778
1.258425999,1.136859976,1.374674733
1.258976652,1.137254389,1.375478644
1.259527306,1.137648825,1.376282511
1.26007796,1.138067928,1.376873797
