Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
Colombia,0,0,0,6.587261647,11.66391419,18.41787444,33.67323969,48.93830368,72.85369157,138.7945172,268.9732315,447.0225221,661.2313402,778.5656487,913.4607065,997.6459118,986.4482579,774.1165525,467.8814084,265.5112271,,6873.534433,6891.785609
Comoros,0,0,0,0.154653569,0.264455769,0.266207393,0.620950041,1.208569226,2.158503665,5.075649818,8.740967581,11.53559846,17.30363059,16.93018301,24.51819636,23.63076107,21.35455992,11.38265287,5.809245483,1.491190899,,152.0268664,152.4459757
Congo,0,0,0,1.464145707,2.368327433,2.767021831,7.40361613,16.16321404,28.82772429,63.9861939,105.9222423,129.0160798,151.4395942,137.8737044,144.2184148,127.1480182,98.35198586,52.30330026,20.78472641,3.914668844,,1090.120505,1093.952978
Costa Rica,0,0,0,0.338222062,0.631701518,1.391316561,2.761314124,3.740126209,6.091754173,12.64650688,22.61202177,33.70749088,52.13448178,61.03044485,70.59719033,82.74323739,79.46538442,65.20789787,42.98575505,25.26066994,,562.3755922,563.3455158
Cote d'Ivoire,0,0,0,23.60623996,12.21105947,20.44103447,31.33545463,31.95133901,90.1848696,174.2192564,265.95933,304.4310296,404.1781889,486.5689468,397.3254687,412.8536054,328.7575592,162.6554354,73.40336113,21.83920713,,3206.104086,3241.921386
Croatia,0,0,0,0.018390645,0.072755773,0.125252669,0.488309577,0.767764996,1.253680782,5.491713751,13.1993897,30.17601832,60.83969163,101.4486,139.9930273,195.2923787,253.5376365,189.7929545,78.25478457,13.29171831,,1083.952921,1084.044068
Cuba,0,0,0,0.711966997,1.33730454,2.348254235,4.75871243,6.228857952,11.18754805,39.65274822,85.53071293,136.4969151,157.9449324,227.4983999,292.5874398,344.5232824,279.8312877,196.3327484,119.8631444,60.68180573,,1965.46679,1967.516061
Cyprus,0,0,0,0.00671029,0.017935039,0.069827624,0.154474843,0.379456204,0.566233853,1.386699595,3.30227489,7.839262094,17.88160054,34.66761704,58.53992837,84.40071288,129.8205291,101.1515807,34.13324089,4.544923263,,478.8383618,478.8630072
Czechia,0,0,0,0.064284259,0.207975321,0.348982174,1.112043257,1.822627775,4.129098341,21.83697769,37.09679863,74.31001627,158.4111877,305.3380962,497.1980846,570.3736083,595.8326805,555.4444719,307.9507258,97.8778526,,3229.083252,3229.355511
Democratic Republic of the Congo,0,0,0,24.86988123,40.69620711,35.8935919,89.41650114,150.9843785,244.739795,567.0451767,1055.138818,1279.801703,1543.147863,1271.734642,1269.579094,1097.533799,927.8227341,501.4767276,234.1864226,51.88828011,,10320.38953,10385.95562
