DM,95% UI,
1.296247407,1.138878152,1.470878141
1.297780062,1.139629877,1.472957551
1.299312098,1.14038202,1.475036376
1.300843512,1.141134582,1.477342417
1.302374305,1.141887562,1.479941313
1.303904475,1.142640961,1.48207279
1.305434023,1.143394781,1.485180501
1.306962947,1.14414902,1.48770321
1.308491247,1.144903681,1.489749683
1.310018924,1.145658762,1.491796048
1.311545977,1.146414265,1.493842321
1.313072405,1.147170189,1.495888514
1.31459821,1.147926536,1.497934643
1.316123391,1.148683305,1.499980723
1.317647948,1.149440498,1.502026766
1.319171882,1.150198114,1.504072787
1.320695193,1.150956153,1.506578818
1.322217882,1.151714617,1.509355422
1.32373995,1.15247351,1.512115192
1.325261396,1.153233763,1.514867837
1.326782223,1.153994449,1.517615881
1.328302431,1.154755566,1.520359293
1.329822021,1.155519042,1.523098044
1.331340994,1.156290197,1.525832106
1.332859352,1.157061783,1.528222149
1.334377095,1.157833797,1.530229397
1.335894226,1.158606238,1.532230678
1.337410745,1.159379104,1.534226009
1.338926654,1.160152393,1.536384654
1.340441956,1.160926103,1.538902363
1.341956651,1.161700234,1.541421887
1.343470741,1.162474782,1.543943237
1.344984229,1.163249746,1.546466421
1.346497116,1.16410127,1.54899145
1.348009405,1.165266341,1.551518335
1.349521097,1.166431088,1.554047085
1.351032196,1.167595437,1.55657771
1.352542703,1.168759312,1.55909826
1.35405262,1.169501137,1.561616655
1.355561951,1.170210739,1.564136878
1.357070698,1.170919996,1.567431325
1.358578863,1.171628913,1.570730338
1.360086449,1.172337492,1.573513795
1.36159346,1.173045737,1.575546424
1.363099897,1.173753651,1.577563469
1.364605763,1.174461238,1.57955383
1.366111063,1.1751685,1.58191596
1.367615798,1.175875442,1.584458301
1.369119972,1.176582066,1.587002774
1.370623589,1.177288376,1.589549389
1.37212665,1.177994374,1.592098155
1.373629161,1.178710864,1.594649083
1.375131123,1.179533643,1.597202182
1.376632541,1.180755552,1.599757461
1.378133418,1.181977197,1.60231493
1.379633758,1.183040527,1.6048746
1.381133563,1.183629868,1.607415208
1.382632839,1.18421878,1.609680077
1.384131588,1.184807265,1.611945438
1.385629814,1.185395328,1.614211289
1.387127521,1.185982972,1.616477628
1.388624714,1.1865702,1.618744454
1.390121395,1.187157015,1.621011764
1.391617568,1.187744248,1.623279558
1.393113239,1.188332212,1.625547832
1.39460841,1.188919793,1.627816586
1.396103086,1.189514342,1.630343698
1.397597271,1.19028924,1.632913234
1.39909097,1.191064552,1.635481266
1.400584185,1.191842505,1.638051455
1.402076922,1.192621588,1.640643348
1.403569185,1.193401087,1.644182432
1.405060977,1.194181005,1.647478523
1.406552304,1.194961341,1.649854973
1.40804317,1.195742095,1.652213514
1.409533579,1.196523267,1.654567639
