Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
Syrian Arab Republic,368.3438435,85.08679075,78.68995,56.47381725,29.86186215,14.24303913,22.85892387,31.78401283,38.84712089,58.17544088,89.66768638,122.2604044,183.5730666,195.1121647,214.5264221,244.895765,270.8649779,219.7964091,49.67304845,10.54420581,,1767,2385
Taiwan (Province of China),43.53058023,5.684537484,5.376546867,7.226271565,11.09364177,14.02618159,27.01399313,59.79261145,82.78655544,131.5311157,200.9843081,329.2446167,481.867543,604.8155969,787.1764889,1428,2198,2873,2063,1372,,12653,12726
Tajikistan,2162,95.47688546,58.61511243,43.69527164,54.68443436,62.8219446,58.91565665,55.7562799,59.4107734,56.63967035,58.66798317,89.65835962,92.40704913,105.1758223,82.91091859,138.3003214,108.7323324,54.62900398,25.3920113,8.898558849,,1058,3473
Thailand,454.3034762,64.87356941,54.39862756,103.4286483,154.9417633,195.5759225,291.6319773,361.747689,471.4332236,652.9222475,971.3066786,1242,1783,2350,3487,4283,4836,3682,2366,1487,,28460,29292
Timor-Leste,237.9593766,7.538285635,4.583426151,5.130799404,4.759534076,3.887178046,3.604921089,3.802420729,5.162985399,7.194329768,8.838246517,11.98125186,25.94695849,37.11284366,60.45085617,50.47410248,52.53055769,42.8594075,16.34760569,4.849684502,,335.0433496,595.0147715
Togo,1600,90.0104636,45.09386474,45.60703922,56.37936895,64.75453459,69.79714652,82.16541618,107.0071148,143.0381683,185.9163849,215.4371404,253.25854,308.2432929,356.2407485,335.8144496,265.784371,143.4506442,60.90997238,23.58146305,,2615,4452
Tokelau,0.039599885,0.002672907,0.002411287,0.004597851,0.007796887,0.007900909,0.009716735,0.010162459,0.010016176,0.011909435,0.016175211,0.024229315,0.024258645,0.044292744,0.031054424,0.047220605,0.070382396,0.040965187,0.071123236,0.015293783,,0.43470126,0.491780078
Tonga,3.708276549,0.320258671,0.246011188,0.372278155,0.427976701,0.39625074,0.455903875,0.586490896,0.604199508,0.809574337,1.075129486,1.349925542,1.735623542,2.160461178,2.737810942,3.914686889,5.207501848,4.282682612,3.019436692,0.961318604,,29.29699669,34.37179795
Trinidad and Tobago,13.30083345,1.06840013,0.915639447,1.149412075,2.061236174,3.160078644,4.857645619,5.082854187,6.328296218,6.863647313,9.031944278,10.81943325,13.01212863,17.16247203,22.02251209,24.93767,31.55506127,35.08903942,27.76441727,24.90434953,,242.5915497,261.087071
Tunisia,115.4515233,13.40179019,10.0739667,7.726369164,11.10057668,14.81582583,20.64974281,23.670629,26.37292005,28.5618925,38.78536181,63.61943112,92.47401852,118.5364301,169.2019928,228.4854778,325.3132525,284.2977953,147.6590172,62.99111882,,1645,1803
Turkey,702.1264076,69.81082415,63.1370019,75.33356821,79.37454692,79.40628828,89.16702651,124.2729036,172.9501464,219.2633824,333.6807411,471.6429495,789.9225305,972.2625653,1605,1950,2572,2543,1255,553.6014041,,13731,14721
Turkmenistan,989.2694687,35.33141657,22.86048049,17.96654748,20.76803886,25.5956025,23.64536837,23.57145212,20.62452736,21.28042966,23.24310905,26.23567221,25.29971601,16.72853861,16.12719329,18.64928647,19.8050676,16.62589798,13.19964805,6.292451467,,296.9239608,1383
Tuvalu,0.461520054,0.046515675,0.03815459,0.067247626,0.111466975,0.132258335,0.143557158,0.149837596,0.137146376,0.155010851,0.207910661,0.276756352,0.355950173,0.362110364,0.403121489,0.464705336,0.493360578,0.392716469,0.25371331,0.043096254,,3.971251301,4.696156222
Uganda,8271,501.5006022,275.6360141,255.3112115,245.2003265,240.8023054,215.73651,221.0268843,272.1929781,322.4368063,401.1488814,499.0167032,646.6975746,778.9203208,993.8574423,1189,1045,596.9542404,300.8728005,137.3152646,,7861,17409
Ukraine,208.122818,25.67666171,24.33244574,42.19985014,95.89680501,281.0880319,580.814452,782.9298071,866.3285124,827.8428458,827.4441475,828.179052,598.7919079,408.463672,235.6680081,438.7602382,558.6381654,641.0155613,479.7863255,126.6659895,,8482,8879
United Arab Emirates,6.560368159,2.226537601,2.880006725,3.118535744,4.845534712,11.75891474,33.91094413,33.04043875,40.11422989,37.5338664,33.47634332,35.48889105,76.92035367,58.87110789,39.70180738,37.58568477,32.35603295,22.09421394,7.419055082,1.262995263,,501.5348792,521.1658622
United Kingdom,105.6733461,9.019688907,8.711141472,14.24688607,25.0209702,40.30337916,61.77061796,87.22791046,136.9111278,223.9138606,334.4928991,467.3409828,668.6804855,1106,1950,3232,6152,9818,10225,5414,,39918,40080
United Republic of Tanzania,19818,721.5043267,355.6179049,294.1367131,282.9792408,309.9132696,302.6562132,336.8222543,418.703546,513.5746455,672.9535658,815.805648,1114,1323,1695,2060,1969,1214,600.0034965,262.9043943,,13610,35082
