25-29 years,95% UI,,30-34 years,95% UI,,35-39 years,95% UI,,40-44 years,95% UI,,45-49 years,95% UI,,50-54 years,95% UI,,55-59 years,95% UI,,60-64 years,95% UI,,65-69 years,95% UI,,70-74 years,95% UI,,75-79 years,95% UI,,80-84 years,95% UI,,85-89 years,95% UI,,90-94 years,95% UI,,95+ years,95% UI,
1.013885098,1,1.06110457,1.013074367,1,1.057142417,1.012316951,1,1.052162729,1.01152441,1,1.048758277,1.010679851,1,1.047829038,1.00968536,1,1.040920095,1.009033572,1,1.040680607,1.008055238,1,1.035067392,1.007208665,1,1.030902306,1.006532282,1,1.02789714,1.005646596,1,1.024993066,1.00487566,1,1.021437873,1.004017573,1,1.017526666,1.003228887,1,1.014273219,1.002418401,1,1.010382361
1.015241215,1,1.064320913,1.014352044,1,1.060192927,1.013519638,1,1.054904365,1.012644783,1,1.051112226,1.011718755,1,1.050239177,1.010634619,1,1.043407132,1.009909743,1,1.04283802,1.00884183,1,1.03680827,1.007911723,1,1.032584841,1.007165533,1,1.029537907,1.00619617,1,1.026308539,1.005349155,1,1.022681224,1.004410012,1,1.018515214,1.003540783,1,1.015049844,1.002654468,1,1.010941243
1.016639693,1,1.067650382,1.015671569,1,1.063412672,1.014760528,1,1.057783415,1.013802279,1,1.053462037,1.01279145,1,1.05273548,1.011615212,1,1.045885278,1.010813838,1,1.044806685,1.009652905,1,1.038544681,1.008636705,1,1.034875666,1.007819264,1,1.031161804,1.006762593,1,1.027615891,1.005837312,1,1.023794558,1.004814531,1,1.019404215,1.003862352,1,1.01575242,1.002897998,1,1.011469875
1.018097217,1,1.070997665,1.017047791,1,1.066609136,1.016052615,1,1.061761262,1.015008609,1,1.05614808,1.013908607,1,1.055295573,1.012636876,1,1.04816485,1.011756017,1,1.046741548,1.010498164,1,1.04055179,1.009391589,1,1.03654164,1.008500541,1,1.032780823,1.007352521,1,1.02891425,1.00634561,1,1.024886176,1.005236043,1,1.020230056,1.00419753,1,1.01646519,1.003151726,1,1.012110022
1.01961271,1,1.074333617,1.018478074,1,1.069756035,1.017393759,1,1.064940949,1.016261345,1,1.059079135,1.015069378,1,1.057849823,1.01369882,1,1.050261593,1.012734361,1,1.048675229,1.011376126,1,1.043092877,1.010176405,1,1.03820015,1.009207931,1,1.034395024,1.007966422,1,1.03020239,1.006872878,1,1.02610901,1.005674406,1,1.021114845,1.004545765,1,1.017169335,1.003415422,1,1.012660085
1.021177451,1,1.077649161,1.019955744,1,1.073498207,1.018778298,1,1.067716154,1.01755285,1,1.062080481,1.016267549,1,1.060398367,1.014794697,1,1.052575978,1.013743537,1,1.050662508,1.012281147,1,1.045182947,1.010986073,1,1.039856303,1.009937724,1,1.036004465,1.008598945,1,1.031489528,1.007416256,1,1.027331563,1.006126143,1,1.022031392,1.004904573,1,1.017869253,1.003687291,1,1.013240004
1.022795465,1,1.080961289,1.021485192,1,1.076589352,1.020210675,1,1.070386029,1.018888763,1,1.064792255,1.017506977,1,1.062938863,1.015927138,1,1.055176937,1.014787006,1,1.052648099,1.013215847,1,1.047441342,1.011824272,1,1.041509773,1.010692258,1,1.037609204,1.00925274,1,1.03276419,1.007977378,1,1.028545002,1.006593138,1,1.022940568,1.005275621,1,1.018566343,1.003967941,1,1.013752475
1.024467148,1,1.084175698,1.023064915,1,1.079651411,1.021691252,1,1.073301641,1.020267823,1,1.068002578,1.018788631,1,1.065472664,1.017097317,1,1.05776807,1.015866028,1,1.054632056,1.014181193,1,1.049385739,1.012690316,1,1.043160259,1.011471431,1,1.039209297,1.009927833,1,1.034031691,1.008556597,1,1.029799341,1.007075616,1,1.023858048,1.005659016,1,1.019260655,1.004257937,1,1.014307167
1.026185269,1,1.087900404,1.024687536,1,1.082685208,1.023214028,1,1.076056681,1.021684743,1,1.070865626,1.020107931,1,1.068000965,1.018299438,1,1.06034953,1.016975048,1,1.057056819,1.015173217,1,1.051243779,1.013580912,1,1.04480861,1.01227241,1,1.04080687,1.010621388,1,1.03539031,1.009151273,1,1.030950005,1.007571701,1,1.024802551,1.00605312,1,1.020138809,1.004555824,1,1.014821116
1.027966109,1,1.091606826,1.026369154,1,1.085705533,1.024792633,1,1.078805614,1.023153269,1,1.073535362,1.021475186,1,1.070523898,1.019544015,1,1.062919815,1.01812434,1,1.059795849,1.016199698,1,1.053124566,1.014503904,1,1.046454854,1.013103314,1,1.042249761,1.011340398,1,1.036620952,1.00976742,1,1.032138577,1.008086024,1,1.025746899,1.006461064,1,1.020963422,1.004863991,1,1.015331029
1.029813064,1,1.095110739,1.028113977,1,1.088715379,1.026429655,1,1.082355149,1.024675383,1,1.076201123,1.022891561,1,1.073041593,1.020835515,1,1.065426779,1.019317764,1,1.061768834,1.017264588,1,1.054963985,1.015461439,1,1.048099021,1.01396509,1,1.043808618,1.012086232,1,1.037847527,1.010406532,1,1.033315449,1.00862003,1,1.026626003,1.006884112,1,1.021680078,1.005183365,1,1.015838884
1.031721557,1,1.098472421,1.029917794,1,1.09171503,1.028121345,1,1.085845305,1.026248052,1,1.078982093,1.024353991,1,1.075812598,1.022170141,1,1.067770523,1.020552108,1,1.063710957,1.018364665,1,1.056766369,1.016450704,1,1.049745564,1.014855878,1,1.045491027,1.012857061,1,1.039068019,1.011067272,1,1.034484417,1.00917171,1,1.027502999,1.007321042,1,1.022392945,1.005513103,1,1.016344715
1.033695305,1,1.101470753,1.031785225,1,1.094704764,1.029870229,1,1.088588238,1.027876028,1,1.081806832,1.025866495,1,1.078470152,1.023550631,1,1.070480325,1.021829096,1,1.065645799,1.019501823,1,1.058566134,1.017474667,1,1.051386135,1.015777697,1,1.047015764,1.013654393,1,1.040285326,1.011750764,1,1.035620951,1.009742114,1,1.028379761,1.007772575,1,1.023250636,1.005854275,1,1.016848557
