Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
Cambodia,87.20218098,100.357752,104.8092733,105.0407919,139.7057492,221.6126047,293.9977944,440.0599309,553.2730831,694.448191,818.3333693,942.0019713,752.2595474,327.4598375,103.5160796,,2913.107101,3186.789655,5684.078157,8870.867812
Cameroon,133.0662412,134.9768974,148.7585207,171.9684958,215.8842562,282.7532262,384.3732705,453.7600266,540.7142254,713.1321584,764.5361182,698.8387999,356.5264998,148.4104039,46.79513398,,5882.924136,6403.416905,5194.494274,11597.91118
Canada,8.004266906,12.56324579,18.16076957,25.83205874,42.4692724,72.8452087,127.4479199,165.8806534,242.1520148,364.878267,553.1354626,977.1736381,1540.345791,1359.569612,869.3873215,,26.7607501,39.69821884,6379.845503,6419.543722
Central African Republic,38.13211114,40.02073069,51.51489362,78.52583252,105.4512413,131.5909871,156.8248729,174.7188042,151.3695801,142.5206648,120.0277429,84.85328423,40.82901927,14.49617893,4.377327354,,2327.607674,2512.09031,1335.253271,3847.343581
Chad,72.46640103,69.59266735,80.55305067,98.03110312,130.9830687,191.8663269,228.3378241,305.0390489,356.2990879,489.952996,492.0869082,439.4038396,220.2820944,95.27376902,36.10129301,,9820.056056,10320.05074,3306.269479,13626.32022
Chile,7.873653394,11.19434361,17.32766638,27.06631326,38.05312119,61.69924003,83.4289619,108.4674806,139.1164116,221.0509223,348.2769816,563.1960707,775.4735708,597.3432582,382.6337996,,48.43521252,63.36331615,3382.201795,3445.565111
China,588.3363468,676.2613153,755.7753133,1181.186564,1748.674497,2724.258204,2961.984827,5529.706196,7900.045588,12523.58715,19567.80988,31669.55727,30090.75138,12696.5881,4351.478636,,16891.47938,18644.00475,134966.0012,153610.006
Colombia,66.2404052,65.81189998,83.66742788,89.70531501,118.3746412,159.0725294,229.5357081,283.0114314,335.6446317,426.2093082,577.5525879,725.5497605,697.3661228,461.2560981,336.8551861,,769.2052863,946.192062,4655.853053,5602.045115
Comoros,3.644574453,3.551057434,4.158294289,5.449638399,6.798734729,8.741685919,10.92279996,16.13804411,18.30601034,27.97250013,33.64547237,33.17986181,20.97445146,10.94344585,4.243460807,,98.79377342,112.6206856,208.6700321,321.2907177
Congo,20.37015817,24.76510068,31.79832413,42.66133313,52.3755522,63.45117278,80.10569642,99.22025942,103.6919431,119.9157929,138.003747,117.7859141,83.58545972,30.86132777,9.77356511,,273.9322274,336.0070624,1018.365347,1354.372409
