GEOID10,Base_HNO3_mol,Base_NH3f_mol,Base_NO3_mol
30079,0.0033653710225121365,0.015204124718282112,0.0020564838430110134
30081,0.0056231319527611755,0.05872320168070368,0.0056231319527611755
30083,0.0036458052233403495,0.020834151437524207,0.0026184178329870353
30085,0.0032123659533990377,0.013335211482870268,0.001856506990400316
30087,0.003348098909313102,0.017110878754445592,0.002216850680123967
30089,0.005213435581871211,0.018958252958007953,0.002868590417435343
30091,0.0030848535820754345,0.0134829315569919,0.0018371832467481133
30093,0.003578824211263445,0.027239036732279603,0.003157326373947145
30095,0.0042144369654002495,0.038559726515290216,0.0042144369654002495
30097,0.0041470882772300785,0.03862599657834968,0.0041470882772300785
30099,0.0027584247008930625,0.040597367757702806,0.0027584247008930625
30101,0.002965277887610181,0.043922168958043815,0.002965277887610181
30103,0.003352158570672096,0.021216340473893147,0.002572722663192043
30105,0.0026580979491293245,0.01236595133845543,0.0016351770864086715
30107,0.003188799110287967,0.03176105435522875,0.003188799110287967
30109,0.0036432450197411165,0.019828360304361126,0.002530135895711135
30111,0.003932323770417373,0.03561867705842462,0.003932323770417373
31001,0.009331030163774852,0.17289752220782958,0.009331030163774852
31003,0.007479449227477284,0.1697918815183812,0.007479449227477284
31005,0.006257863057166789,0.057238958255705644,0.006257863057166789
31007,0.009014373737546062,0.05906593345789281,0.007856721771740854
31009,0.006022279545763872,0.06997903460854576,0.006022279545763872
31011,0.008434942220747721,0.17984609993872464,0.008434942220747721
31013,0.006877259243309743,0.07782201237743587,0.006877259243309743
31015,0.0058092299373841486,0.08898238984976439,0.0058092299373841486
31017,0.0053808651029081086,0.06924967932154374,0.0053808651029081086
31019,0.00832333746404454,0.15130345918209814,0.00832333746404454
31021,0.010900010590034235,0.31745812503627885,0.010900010590034235
31023,0.011891533614512789,0.19429966263908366,0.011891533614512789
31025,0.014698223923648732,0.13425892014994623,0.014698223923648732
31027,0.008377064327356906,0.19851503813523846,0.008377064327356906
31029,0.0057536207279097265,0.09047567073404648,0.0057536207279097265
31031,0.004669202904312157,0.03334087223538597,0.004011342028039603
31033,0.007305252591990123,0.06826745737911816,0.007305252591990123
31035,0.009712303843910712,0.20963022548530966,0.009712303843910712
31037,0.011171913578564873,0.2765008126952833,0.011171913578564873
31039,0.01076176816784509,0.30364536812636167,0.01076176816784509
31041,0.00674680071851221,0.09652522357379814,0.00674680071851221
31043,0.009676551164295673,0.30731705322297753,0.009676551164295673
31045,0.0060386475140871984,0.03334086290312272,0.004417633527067689
31047,0.007087360825745807,0.18369712179724473,0.007087360825745807
31049,0.006819272749897244,0.0848137562963009,0.006819272749897244
31051,0.00935697349967511,0.1975748360794173,0.00935697349967511
31053,0.012997790630692767,0.2500245357302258,0.012997790630692767
31055,0.015535124500554892,0.2127403057572189,0.015535124500554892
31057,0.00556001830757075,0.07443290415191244,0.00556001830757075
31059,0.010418089997985127,0.17081734626076653,0.010418089997985127
31061,0.007410239834716973,0.11428160552988395,0.007410239834716973
31063,0.006088147921945032,0.08620323159433212,0.006088147921945032
31065,0.006520186577641769,0.12005125818420936,0.006520186577641769
31067,0.012600280216752975,0.13873805595892813,0.012600280216752975
31069,0.0069447757845828946,0.05946320715573478,0.0069447757845828946
31071,0.006572471413835062,0.09150235161545359,0.006572471413835062
31073,0.0067000922993105325,0.10170199483288882,0.0067000922993105325
31075,0.00609495117311804,0.04370754141135365,0.00539527585677646
31077,0.007826823550389177,0.1507188714818504,0.007826823550389177
31079,0.009498897121817349,0.1738983875977566,0.009498897121817349
31081,0.009871325804555879,0.17703982323919185,0.009871325804555879
31083,0.006886966496015544,0.11077325459750437,0.006886966496015544
31085,0.0059285103082520425,0.08212212511259001,0.0059285103082520425
31087,0.005668008925821884,0.0678020427444381,0.005668008925821884
31089,0.006155608618485565,0.12026603842683564,0.006155608618485565
31091,0.005777526607647643,0.055048086314679945,0.005777526607647643
31093,0.008473608498376002,0.14469200812114888,0.008473608498376002
31095,0.010732353865927299,0.15374283721517754,0.010732353865927299
31097,0.013170397666779894,0.11096072665432823,0.013170397666779894
31099,0.008069353220682848,0.20504598215724873,0.008069353220682848
31101,0.0064806904302980575,0.07643459583136908,0.0064806904302980575
31103,0.005060176333045955,0.057617415795122084,0.005060176333045955
31105,0.009115802360511792,0.058382576378467915,0.007824715850873463
31107,0.007369884992582501,0.1544375570835094,0.007369884992582501
31109,0.014193106753861862,0.13747881100237297,0.014193106753861862
